lexical_item	selected_input	old_deleting_rule	new_deleting_rule	form_before_new_rule	form_after_new_rule	before_checkpoint_bin	after_checkpoint_bin	phase0_proposed_process	adjudicated_process_matches
stool	*stōlaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*ō*l*a*z	*s*t*ō*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
stork	*stúrkaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*ó*r*k*a*z	*s*t*ó*r*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
storm	*stúrmaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*ó*r*m*a*z	*s*t*ó*r*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
stream	*stráumaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*r*áu*m*a*z	*s*t*r*áu*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
string	*strángiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*r*á*n*g*i*z	*s*t*r*á*n*g*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
summer	*súmaraz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*ú*m*a*r*a*z	*s*ú*m*a*r*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
team	*táugmaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*t*áu*m*a*z	*t*áu*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
thane	*θégnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*é*g*n*a*z	*θ*é*g*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
thanks	*θánkaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*á*n*k*a*z	*θ*á*n*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
thief	*θéubaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*éu*b*a*z	*θ*éu*b*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
thirst	*θúrstuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*ú*r*s*t*u*z	*θ*ú*r*s*t*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
thorn	*θúrnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*ó*r*n*a*z	*θ*ó*r*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
three	*θréjez	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*r*é*j*e*z	*θ*r*é*j*e	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
thunder	*θúnraz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*θ*ú*n*r*a*z	*θ*ú*n*r*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
tide	*tḯdiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*t*ḯ*d*i*z	*t*ḯ*d*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
wain	*wágnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*á*g*n*a*z	*w*á*g*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
wasp	*wábsaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*á*b*s*a*z	*w*á*b*s*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
way	*wégaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*é*g*a*z	*w*é*g*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
whale	*xwálaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*w*á*l*a*z	*x*w*á*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
wight	*wéxtiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*é*x*t*i*z	*w*é*x*t*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
winter	*wíntruz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*í*n*t*r*u*z	*w*í*n*t*r*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
wold	*wálθuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*á*l*d*u*z	*w*á*l*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
wolf	*wúlfaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*ó*l*f*a*z	*w*ó*l*f*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
worm	*wúrmiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*w*ú*r*m*i*z	*w*ú*r*m*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
