row_id	lexical_item	counterpart	selected_input	form_before_sc020	form_after_sc020	final_z_syllable	stress_status	monosyllabic_or_polysyllabic	morphological_category	proposed_historical_process	historical_stage	source_evidence	confidence	notes
80	seam	sēam	*sáumaz	sáumaz	sáuma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
81	sheath	sċēaþ	*skáiθiz	skáiθiz	skáiθi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
82	shield	sċield	*skélduz	skélduz	skéldu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
83	shilling	sċilling	*skíllingaz	skíllingaz	skíllinga	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
84	shoulder	sċuldrum	*skúldramiz	skúldrumz	skúldrum	mz	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
85	snow	snāw	*snáiwaz	snáiwaz	snáiwa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
86	spoon	spōn	*spḗnuz	spḗnuz	spḗnu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
87	staff	stæf	*stábaz	stábaz	stába	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
88	stem	stefn	*stámniz	stámniz	stámni	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
89	stock	stocc	*stúkkaz	stókkaz	stókka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
90	stone	stān	*stáinaz	stáinaz	stáina	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
91	stool	stōl	*stōlaz	stōlaz	stōla	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
92	stork	storc	*stúrkaz	stórkaz	stórka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
93	storm	storm	*stúrmaz	stórmaz	stórma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
94	stream	strēam	*stráumaz	stráumaz	stráuma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
95	string	strenġ	*strángiz	strángiz	strángi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
96	summer	sumer	*súmaraz	súmaraz	súmara	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
97	team	tēam	*táugmaz	táumaz	táuma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
98	thane	þeġn	*θégnaz	θégnaz	θégna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
99	thanks	þanc	*θánkaz	θánkaz	θánka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
100	thief	þēof	*θéubaz	θéubaz	θéuba	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
101	thirst	þurst	*θúrstuz	θúrstuz	θúrstu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
102	thorn	þorn	*θúrnaz	θórnaz	θórna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
103	three	þrīe	*θréjez	θréjez	θréje	ez	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
104	thunder	þunor	*θúnraz	θúnraz	θúnra	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
105	tide	tīd	*tḯdiz	tḯdiz	tḯdi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
106	wain	wæġn	*wágnaz	wágnaz	wágna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
107	wasp	wæfs	*wábsaz	wábsaz	wábsa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
108	way	weġ	*wégaz	wégaz	wéga	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
109	whale	hwæl	*xwálaz	xwálaz	xwála	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
110	wight	wiht	*wéxtiz	wéxtiz	wéxti	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
111	winter	winter	*wíntruz	wíntruz	wíntru	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
112	wold	weald	*wálθuz	wálduz	wáldu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
113	wolf	wulf	*wúlfaz	wólfaz	wólfa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
114	worm	wyrm	*wúrmiz	wúrmiz	wúrmi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
