# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv (human) joined with Germanic/fsts/germanic.txt and the coverage census (machine)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
#
# rule_source_anchor is deliberately a STABLE anchor with no line number:
# inserting lines above a definition must not dirty any committed file.
# Run tools/executable_facts.py NAME for the current line.
#
# firing_count/firing_lexemes are the CURRENT corpus firing population
# (machine evidence). illustrative_lexemes are examples a human chose
# (editorial). The two are never interchangeable.
change_id	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	review_note	needs_human_review
SC046	Old English	Germanic/fsts/germanic.txt	define OEARestoration	define OEARestoration ( {*æ} -> {*a} || _ OEARestorationIntervening OEARestorationTriggerVowel - OEARestorationIntervening OEARestorationWeakTailVowel );	OE A Restoration	yes	20	bake, fare, flask, grave, haw, hawk, lade, lap, make, nave, navel, nightmare, sake, spare, wade, wake, wash, make (iptv.2sg), make (3sg), tap		not_started	not_started			no
SC047	Old English	Germanic/fsts/germanic.txt	define OEHeavySyllableNasalApocope	define OEHeavySyllableNasalApocope [ {*ą} -> 0 || OEAnyConsonant _ .#. ];	OE Heavy Syllable Nasal Apocope	yes	160	bake, barrow, bast, bath, begin, believe, bind, blood, board, bone, bore, bow, bower, bread, break, breast, bring, brook, burst, chew, climb, corn, deer, do, door, drink, drive, eat, fall, fare, fast, fell, fight, flax, flee, fly, fodder, fold, folk, follow, forlorn, freeze, frost, give, god, gold, grass, grave, gripe, hail, hair, handle, hay, head, heal, help, hew, hoard, hold, honey, horn, knead, knee, lade, land, last, laugh, lead, leaf, learn, leather, let, lick, lid, life, light, lime, loam, lock, make, meal, mean, nest, net, rain, read, ride, room, rope, run, sail, salt, sap, seek, send, set, shaft, shear, sheep, shine, show, sing, singe, sit, slay, sleep, slime, smear, span, spare, spin, spread, start, starve, steal, still, straw, stretch, strew, stud, sunder, sup, swell, swim, swine, sword, thatch, thing, think, thrash, timber, token, town, tread, trough, wade, wake, warp, wash, wax, weapon, weather, weave, wether, whine, wield, wife, will, wind, withy, wonder, word, wring, yarn, year, yoke, sow, betray		not_started	not_started			no
SC048	Old English	Germanic/fsts/germanic.txt	define OESecondaryNasalization	define OESecondaryNasalization [ {*a} -> {*ą} || _ {*n} .#. ];	OE Secondary Nasalization	yes	89	bake, begin, believe, bind, bore, bow, break, bring, brook, burst, chew, climb, drink, drive, eat, fall, fare, fast, fight, flee, fly, fold, follow, forlorn, freeze, give, grave, gripe, handle, heal, help, hew, hold, knead, lade, last, laugh, lead, learn, let, lick, light, make, mean, read, ride, run, seek, send, set, shear, shine, show, sing, singe, sit, slay, sleep, smear, span, spare, spin, spread, start, starve, steal, still, stretch, strew, sunder, sup, swell, swim, think, thrash, tread, wade, wake, warp, wash, wax, weave, whine, wield, will, wind, wring, sow, betray		not_started	not_started			no
SC049	Old English	Germanic/fsts/germanic.txt	define PGmcBAllophony	define PGmcBAllophony [ {*b} -> {*β} || PGmcStarVocalic _, {*b} -> {*β} || [{*l} | {*r}] _ ] .o. [ {*β} -> {*b} || _ {*b} ];	PGmc B Allophony	yes	28	beaver, believe, calf, drive, give, grave, harvest, have, hawk, head, heaven, leaf, life, live, liver, nave, navel, raven, salve, seven, shove, sieve, staff, starve, thief, wasp, weave, wife		not_started	not_started		PGmc B Allophony is intentionally delayed in the live cascade, so the historical label and pipeline placement diverge.	yes
SC050	Old English	Germanic/fsts/germanic.txt	define SieversLawSyncope	define SieversLawSyncope [ {*i} -> 0 || [EnglishStarConsonant | EnglishPalatalConsonant] _ {*j} ];	Sievers Law Syncope	yes	19	believe, bow, fast, follow, heal, last, lead, light, mean, seek, send, singe, smear, spread, start, still, stretch, think, betray		not_started	not_started		Sievers Law Syncope is provisionally grouped with Proto-West Germanic developments even though the sandbox checkpoints it in the Old English section.	yes
SC051	Old English	Germanic/fsts/germanic.txt	define OESkPalatalization	define OESkPalatalization [ {*s} {*k} -> {*ʃ} || .#. _ ] .o. [ {*s} {*k} -> {*ʃ} || EnglishStarFrontVowel _ (EnglishStarConsonant | .#.) ] .o. [ {*s} {*k} -> {*ʃ} || (EnglishStarConsonant | .#.) _ EnglishStarFrontVowel ] .o. [ {*s} {*k} -> {*ʃ} || _ {*j} ] .o. [ {*s} {*k} -> {*ʃ} || {*j} _ ];	OE Sk Palatalization	yes	18	fish, flesh, shaft, shame, shear, sheath, sheep, shield, shilling, shine, shoulder, shove, shovel, show, shower, thrash, show (iptv.2sg), show (3sg)		not_started	not_started			no
SC052	Old English	Germanic/fsts/germanic.txt	define OEVelarPalatalization	define OEVelarPalatalization [ OEVelarPalatalizationKFront ] .o. [ {*g} -> {*ʤ} || _ EnglishStarFrontVowel, {*g} -> {*ʤ} || EnglishStarFrontVowel _ .#., {*g} -> {*ʤ} || EnglishStarFrontVowel _ EnglishStarFrontVowel, {*g} -> {*ʤ} || EnglishStarFrontVowel _ [EnglishStarConsonant - {*j}], {*g} {*g} -> {*ʤ} {*ʤ} || _ {*j} ] .o. [ {*g} -> {*ʤ} || _ {*j} ];	OE Velar Palatalization	yes	32	begin, believe, belly, bow, breeches, calf, chew, day, drench, follow, gall, gift, give, guest, hail, hedge, honey, nail, rain, rainbow, rye, sail, seek, singe, stretch, string, thane, think, wain, way, withy, yarn		not_started	not_started			no
SC053	Old English	Germanic/fsts/germanic.txt	define OEPostVelarWLoss	define OEPostVelarWLoss [ {*w} -> 0 || {*n} {*g} _ ];	OE Post Velar W Loss	yes	1	sing		not_started	not_started			no
SC054	Old English	Germanic/fsts/germanic.txt	define OEWLossBeforeI	define OEWLossBeforeI [ {*w} -> 0 || EnglishStarVocalic _ {*i} .#. ];	OE W Loss Before I	yes	1	sea		not_started	not_started			no
SC055	Old English	Germanic/fsts/germanic.txt	define OEIUmlaut	define OEIUmlaut OEIUmlautFronting .o. OEIUmlautRaising .o. OEIUmlautDiphthong;	OE I Umlaut	yes	67	believe, belly, berry, birth, bore, bow, breeches, bride, cow, deal, dill, drench, fast, fist, flesh, follow, fright, gift, guest, handle, harvest, hay, heal, heath, hedge, hind, last, laugh, lead, learn, lick, light, lung, make, mean, might, need, net, nettle, night, rye, sea, seek, send, set, sheath, show, singe, sit, smear, spare, spindle, spread, start, stem, still, stretch, strew, string, sunder, think, three, wight, will, worm, fire		not_started	not_started			no
SC056	Old English	Germanic/fsts/germanic.txt	define OEWsPalatalDiphthongization	define OEWsPalatalDiphthongization [ {*æ} -> {*ea} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*ǣ} -> {*ēa} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*e} -> {*ie} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*ē} -> {*īe} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*é} -> {*íe} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*ḗ} -> {*īe} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.] ];	OE Ws Palatal Diphthongization	yes	8	give, guest, shaft, shear, sheath, sheep, shield, year		not_started	not_started			no
SC057	Old English	Germanic/fsts/germanic.txt	define OEJClusterCoalescence	define OEJClusterCoalescence ( [{*g} {*j} -> {*ʤ}] .o. [{*k} {*j} -> {*ʧ}] );	OE J Cluster Coalescence	no	0			not_started	not_started			no
SC059	Old English	Germanic/fsts/germanic.txt	define OEBackMutation	define OEBackMutation [ {*e} -> {*eo} || _ [EnglishStarLabial | EnglishStarLiquid] {*u}, {*æ} -> {*ea} || _ [EnglishStarLabial | EnglishStarLiquid] EnglishBackMutationTrigger, {*é} -> {*éo} || _ [EnglishStarLabial | EnglishStarLiquid] {*u} ];	OE Back Mutation	yes	5	heaven, milk, seven, spear, world		not_started	not_started			no
SC060	Old English	Germanic/fsts/germanic.txt	define OEWsPalatalUmlaut	define OEWsPalatalUmlaut [ {*eo} -> {*i} || _ OEHCluster .#., {*io} -> {*i} || _ OEHCluster .#., {*ie} -> {*i} || _ OEHCluster .#., {*eo} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*io} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*ie} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*éo} -> {*i} || _ OEHCluster .#., {*ío} -> {*i} || _ OEHCluster .#., {*íe} -> {*i} || _ OEHCluster .#., {*éo} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*ío} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*íe} -> {*i} || _ OEHCluster EnglishStarFrontVowel ];	OE Ws Palatal Umlaut	yes	5	knight, might, night, six, wight		not_started	not_started			no
SC061	Old English	Germanic/fsts/germanic.txt	define OEWeakTailNasalLoss	define OEWeakTailNasalLoss [ {*n} {*ą} -> {*n} || _ .#., {*m} {*ą} -> {*m} || _ .#. ];	OE Weak Tail Nasal Loss	no	0			not_started	not_started			no
SC062	Old English	Germanic/fsts/germanic.txt	define OEWeightMarkers	define OEWeightMarkers OEHeavyMarker;	OE Weight Markers	no	0			not_started	not_started		Identity marker stage used for weight-sensitive conditioning before apocope; appendix only.	no
SC063	Old English	Germanic/fsts/germanic.txt	define OEHighVowelApocope	define OEHighVowelApocope [ {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongVowel OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongVowel OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortDiphthong OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortDiphthong OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortDiphthong OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortVowel OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortVowel OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongVowel _ .#., {*u} -> 0 || {*x} _ .#., {*ų} -> 0 || {*x} _ .#., {*i} -> 0 || {*x} _ .#. ];	OE High Vowel Apocope	yes	64	beaver, beech, belly, bier, birth, bough, breeches, bride, cow, deal, deed, dew, drench, fee, field, fist, flesh, flood, gift, ground, guest, hall, hand, harvest, heath, help, herd, hind, linden, liver, lung, lust, lye, march, might, need, needle, night, rind, rood, salve, sea, sheath, shield, shovel, shower, sorrow, soul, spindle, spoon, stem, string, thirst, tide, tongs, while, wight, winter, wold, world, worm, fire, rust, wool		not_started	not_started			no
SC064	Old English	Germanic/fsts/germanic.txt	define NWGmcInStemNLoss	define NWGmcInStemNLoss [{*n} -> 0 || {*ī} _ .#.];	NWGmc In Stem N Loss	yes	1	fright		not_started	not_started		NWGmc In Stem N Loss is applied after OEHighVowelApocope in the current cascade, so the historical label needs an explanatory note.	yes
SC065	Old English	Germanic/fsts/germanic.txt	define OEMedialSyncope	define OEMedialSyncope [ {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ [{*θ}|{*ð}|{*d}|{*t}], {*i} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ [{*θ}|{*ð}|{*d}|{*t}], {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ [{*θ}|{*ð}|{*d}|{*t}] ];	OE Medial Syncope	no	0			not_started	not_started			no
SC066	Old English	Germanic/fsts/germanic.txt	define OELAdjacentSyncope	define OELAdjacentSyncope [ {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant+ _ {*l}, {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ {*l}, {*i} -> 0 || EnglishStarDiphthong OEAnyConsonant+ _ {*l} ];	OE L Adjacent Syncope	yes	3	nettle, spindle, thistle		not_started	not_started			no
SC067	Old English	Germanic/fsts/germanic.txt	define OEDentalAssimilation	define OEDentalAssimilation [ {*θ} -> 0 || {*t} _ ];	OE Dental Assimilation	no	0			not_started	not_started			no
SC068	Old English	Germanic/fsts/germanic.txt	define OEPreconsonantalDegemination	define OEPreconsonantalDegemination OEPreconsonantalDegemTT .o. OEPreconsonantalDegemNN;	OE Preconsonantal Degemination	yes	2	bottom, spindle		not_started	not_started			no
SC069	Old English	Germanic/fsts/germanic.txt	define OEEarlyOShortening	define OEEarlyOShortening [ {*ō} -> {*a} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ EnglishStarNasal ];	OE Early O Shortening	no	0			not_started	not_started			no
SC070	Old English	Germanic/fsts/germanic.txt	define OEUnstressedFrontingEarly	define OEUnstressedFrontingEarly OEUnstressedAFronting;	OE Unstressed Fronting Early	yes	2	find, west		not_started	not_started			no
SC071	Old English	Germanic/fsts/germanic.txt	define OELateOShortening	define OELateOShortening [ {*ō} -> {*o} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ [EnglishStarConsonant | EnglishPalatalConsonant]* ];	OE Late O Shortening	yes	7	month, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg), wound		not_started	not_started	Shortens unstressed *ō to *o, whose medial/final outcomes are SC099/SC100; see Stausland Johnsen 2015 pp.28-31 and sc021-adjudication.md.		no
SC072	Old English	Germanic/fsts/germanic.txt	define OEUnstressedLongVowelShortening	define OEUnstressedLongVowelShortening OEUnstressedLongVowelShortening1 .o. OEUnstressedLongVowelShortening2 .o. OEUnstressedLongVowelShortening3 .o. OEUnstressedLongVowelShortening5 .o. OEUnstressedLongVowelShortening6 .o. OEUnstressedLongVowelShortening7 .o. OEUnstressedLongVowelShortening8;	OE Unstressed Long Vowel Shortening	yes	60	adder, bore, bow, earth, father, find, flask, foal, fright, gall, handle, have, haw, heart, knob, lap, learn, lick, line, list, live, make, meed, mother, name, navel, neck, nettle, nightmare, ox, rainbow, rest, show, side, sister, span, spar, spare, spur, sun, sunder, swallow, tick, toe, tongue, wart, weasel, west, whore, widow, will, youth, make (iptv.2sg), bore (iptv.2sg), learn (iptv.2sg), lick (iptv.2sg), show (iptv.2sg), wound, thought, tap		not_started	not_started			no
SC073	Old English	Germanic/fsts/germanic.txt	define OEUnstressedAEMerger	define OEUnstressedAEMerger OEWeakTailReduction3;	OE Unstressed AE Merger	yes	32	adder, ban, berry, brand, earth, find, flask, four, hammer, heart, honey, line, list, man, nettle, nightmare, rest, side, summer, sun, swallow, swan, thistle, toe, tongue, wart, water, weasel, west, whore, widow, withy		not_started	not_started			no
SC074	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedILowering1	define OEMedUnstressedILowering1 [ {*i} -> {*e} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ ];	OE Med Unstressed I Lowering1	yes	6	dill, fright, harvest, rye, shilling, sieve		not_started	not_started			no
SC075	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedILowering	define OEMedUnstressedILowering [ {*e} -> {*i} || _ {*n} {*g} ];	OE Med Unstressed I Lowering	yes	1	shilling		not_started	not_started			no
SC076	Old English	Germanic/fsts/germanic.txt	define OEPrefixIReduction	define OEPrefixIReduction [ {*i} -> {*ĕ} || .#. [{*b} | {*n}] _ [EnglishStarConsonant | EnglishPalatalConsonant] EnglishStarVocalic ];	OE Prefix I Reduction	yes	1	begin		not_started	not_started			no
SC078	Old English	Germanic/fsts/germanic.txt	define OEWeakTailReduction	define OEWeakTailReduction OEWeakTailReduction1;	OE Weak Tail Reduction	yes	89	bake, begin, believe, bind, bore, bow, break, bring, brook, burst, chew, climb, drink, drive, eat, fall, fare, fast, fight, flee, fly, fold, follow, forlorn, freeze, give, grave, gripe, handle, heal, help, hew, hold, knead, lade, last, laugh, lead, learn, let, lick, light, make, mean, read, ride, run, seek, send, set, shear, shine, show, sing, singe, sit, slay, sleep, smear, span, spare, spin, spread, start, starve, steal, still, stretch, strew, sunder, sup, swell, swim, think, thrash, tread, wade, wake, warp, wash, wax, weave, whine, wield, will, wind, wring, sow, betray		not_started	not_started			no
SC079	Old English	Germanic/fsts/germanic.txt	define OEJLossAfterHeavy	define OEJLossAfterHeavy [ {*j} -> 0 || (EnglishStarLongVowel | EnglishStarDiphthong) [EnglishStarConsonantNoR | EnglishPalatalConsonant] _, {*j} -> 0 || EnglishStarShortVowel [EnglishStarConsonant | EnglishPalatalConsonant] [EnglishStarConsonantNoR | EnglishPalatalConsonant] _ ];	OE J Loss After Heavy	yes	28	believe, bow, fast, follow, heal, hedge, hind, last, laugh, lead, light, lung, mean, net, seek, send, set, singe, sit, smear, spread, start, still, stretch, think, will, betray		not_started	not_started			no
SC080	Old English	Germanic/fsts/germanic.txt	define OEFinalGeminateSimplification	define OEFinalGeminateSimplification [ {*n} -> 0 || {*n} _ .#. ];	OE Final Geminate Simplification	yes	1	lung		not_started	not_started			no
SC081	Old English	Germanic/fsts/germanic.txt	define OEJStrengtheningAfterFrontDiphthong	define OEJStrengtheningAfterFrontDiphthong [ {*j} -> {*ʒ} || [{*ēa}|{*ḗa}|{*íe}|{*īe}|{*éa}] _ EnglishStarVocalic ];	OE J Strengthening After Front Diphthong	yes	1	strew		not_started	not_started			no
SC082	Old English	Germanic/fsts/germanic.txt	define OEIntervocalicJVocalization	define OEIntervocalicJVocalization [ {*j} -> {*i} || EnglishStarVocalic _ EnglishStarVocalic ];	OE Intervocalic J Vocalization	yes	9	bore, handle, learn, lick, make, show, spare, sunder, three		not_started	not_started			no
SC083	Old English	Germanic/fsts/germanic.txt	define OEUnstressedEIContraction	define OEUnstressedEIContraction [ {*e} -> 0 || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ {*i} ];	OE Unstressed EI Contraction	yes	8	bore, handle, learn, lick, make, show, spare, sunder		not_started	not_started			no
SC084	Old English	Germanic/fsts/germanic.txt	define OEWeightCleanup	define OEWeightCleanup ?*;	OE Weight Cleanup	no	0			not_started	not_started		Identity cleanup checkpoint after weight-sensitive rules; methodological appendix only.	no
SC085	Old English	Germanic/fsts/germanic.txt	define OEHLoss	define OEHLoss [ {*x} -> 0 || EnglishStarVocalic _ EnglishStarVocalic ];	OE H Loss	yes	4	flee, slay, ten, toe		not_started	not_started			no
SC086	Old English	Germanic/fsts/germanic.txt	define OEContraction	define OEContraction [ {*a} {*a} -> {*ā}, {*e} {*e} -> {*ē}, {*i} {*i} -> {*ī}, {*o} {*o} -> {*ō}, {*u} {*u} -> {*ū}, {*ea} {*a} -> {*ēa}, {*ēa} {*a} -> {*ēa}, {*eo} {*a} -> {*ēo}, {*ēo} {*a} -> {*ēo}, {*eo} {*o} -> {*ēo}, {*ēo} {*o} -> {*ēo}, {*éo} {*o} -> {*ḗo}, {*ḗo} {*o} -> {*ḗo}, {*ā} {*a} -> {*ā}, {*ā} {*e} -> {*ā}, {*ē} {*a} -> {*ē}, {*ē} {*e} -> {*ē}, {*ḗ} {*a} -> {*ḗ}, {*ḗ} {*e} -> {*ḗ}, {*ī} {*a} -> {*ī}, {*ī} {*e} -> {*ī}, {*ḯ} {*a} -> {*ḯ}, {*ḯ} {*e} -> {*ḯ}, {*ō} {*a} -> {*ō}, {*ō} {*e} -> {*ō}, {*ū} {*a} -> {*ū}, {*ū} {*e} -> {*ū} ];	OE Contraction	yes	5	flee, slay, ten, three, toe		not_started	not_started			no
SC087	Old English	Germanic/fsts/germanic.txt	define OERMetathesis	define OERMetathesis [ {*r} {*e} -> {*e} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*u} -> {*u} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*i} -> {*i} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*o} -> {*o} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*a} -> {*a} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*é} -> {*é} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*ó} -> {*ó} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*á} -> {*á} {*r} || EnglishStarConsonant _ {*s} {*t} ];	OE R Metathesis	yes	2	burst, frost		not_started	not_started			no
SC088	Old English	Germanic/fsts/germanic.txt	define OEEpentheticVowel	define OEEpentheticVowel OEEpentheticInsertion .o. OEEpentheticBackShift .o. OEEpentheticFront .o. OEGLInsertion;	OE Epenthetic Vowel	yes	13	beaver, finger, fodder, leather, liver, rudder, thunder, timber, weather, wether, winter, wonder, fowl		not_started	not_started			no
SC089	Old English	Germanic/fsts/germanic.txt	define OELateUnstressedAgSuffix	define OELateUnstressedAgSuffix ( [{*a} -> {*e} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ {*g}] .o. [{*g} -> {*ʤ} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ {*e} _ .#.] .o. [{*e} -> {*i} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ {*ʤ}] );	OE Late Unstressed Ag Suffix	yes	2	honey, withy		not_started	not_started			no
SC090	Old English	Germanic/fsts/germanic.txt	define OECjCleanup	define OECjCleanup [ {*ʤ} {*j} -> {*ʤ} ];	OE Cj Cleanup	no	0			not_started	not_started		Post-cascade palatal-cluster cleanup before orthography; treat as appendix machinery, not a main sound change.	no
SC091	Old English	Germanic/fsts/germanic.txt	define OEXsMerge	define OEXsMerge [ {*x} {*s} -> {XS} ];	OE Xs Merge	yes	6	flax, fox, ox, six, wax		not_started	not_started		Post-cascade surface merge feeding orthographic x; keep as appendix material rather than a reader-facing historical entry.	no
SC092	Orthography & surface	Germanic/fsts/germanic.txt	define OldEnglishOrthography	define OldEnglishOrthography [ {*θ} -> þ, {*ð} -> ð, {*ʧ} -> ċ, {*ʤ} -> ġ, {*ç} -> h, {*ʒ} -> ġ, {*ʋ} -> w, {*x} -> h, {*v} -> f, {*j} -> ġ, {*ɡ} -> g, {*ʊ} -> u, {*ɔ} -> o, {*ɔ̆} -> a, {*ʃ} -> {sċ} ];	Old English Orthography	yes	129	bath, begin, believe, belly, berry, bow, breeches, calf, chew, day, drench, earth, fee, fight, fish, flea, flesh, follow, fright, furrow, gall, gift, give, guest, hail, hair, hall, hammer, hand, handle, harm, harvest, have, haw, hawk, hay, hazel, head, heal, heart, hearth, heath, heaven, hedge, helm, help, herd, hew, hind, hoard, hold, home, honey, hood, hoof, horn, hound, knight, lade, laugh, leather, lid, light, live, loath, might, month, nail, neck, night, rain, rainbow, raven, rudder, rye, sail, seek, shaft, shame, shear, sheath, sheep, shield, shilling, shine, shoulder, shove, shovel, show, shower, singe, stretch, strew, string, thane, thanks, thatch, thief, thing, think, thirst, thistle, thorn, thousand, thrash, three, thunder, wain, way, wether, whale, while, whine, whore, wight, withy, yarn, year, yoke, youth, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (iptv.2sg), show (3sg), who, thought		not_started	not_started		Orthography conversion from starred symbols to displayed Old English graphemes.	no
