file	key	status	page	reason	citation_chunk_before	citation_chunk_after	paragraph
2068-heaven-heofon.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Fulk2018; @Campbell1959]		From `*xémonų`, the relevant pathway includes early `o`-raising before `u`, dissimilation in the m/n cluster, and later lowering of unstressed `u` [@Fulk2018; @Campbell1959]. Back mutation then yields `heo-` before the labial plus back-vowel sequence, and loss of the final high vowel gives `heofon`.
2069-hedge-heġġ.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		Bosworth-Toller and Clark Hall record the noun under standard spellings `hecg` / `heċġ` [@BosworthToller1898; @ClarkHall1960]. The lexical item itself is therefore well attested even though the selected form is normalized.
2069-hedge-heġġ.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		Standard dictionary spelling is `heċġ` or `hecg`. Normalized `heġġ` is the selected target here, while the ordinary lexicographic forms remain the main Old English citation evidence [@BosworthToller1898; @ClarkHall1960].
2069-hedge-heġġ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		The selected input models a palatal `*-gj-*` noun whose Old English development includes gemination, palatalization, and i-mutation. The current derivation therefore reaches a palatal-geminate outcome of the `heġġ` type [@Campbell1959].
2070-helm-helm.model.md	BosworthToller1898	localized	542		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 542]	Clark Hall and Bosworth-Toller record `helm` as the ordinary Old English noun for 'helmet', while `helma` belongs to a separate rudder lexeme [@ClarkHall1960; @BosworthToller1898].
2071-help-helpan.model.md	BosworthToller1898	localized	542		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 542]	Clark Hall and Bosworth-Toller record `helpan` as the verbal headword 'to help' [@ClarkHall1960; @BosworthToller1898]. The target is therefore the attested infinitive citation form.
2071-help-helpan.model.md	BosworthToller1898	localized	542		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 542]	Noun `help` belongs to a separate lexical line and should not replace verbal `helpan` as the target here [@ClarkHall1960; @BosworthToller1898].
2075-hind-hind.model.md	BosworthToller1898	localized	554		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 554]	Clark Hall and Bosworth-Toller record `hind` as the noun 'hind, female deer' [@ClarkHall1960; @BosworthToller1898]. The target is therefore the attested lexical item itself.
2075-hind-hind.model.md	BosworthToller1898	localized	554		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 554]	`hindan` 'from behind, behind' is a different Old English lexeme and does not belong to the noun history of `hind` [@ClarkHall1960; @BosworthToller1898].
2077-hold-healdan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		Campbell and Ringe-Taylor treat the verb as a regular `*a + lC` breaking case, with West Saxon `healdan` opposed to Anglian and Mercian `haldan` [@Campbell1959; @RingeTaylor2014].
2077-hold-healdan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		From `*xáldaną`, Anglo-Frisian brightening first yields a fronted vowel, and West Saxon breaking then produces `ea` before `ld`. Later reduction of the infinitive ending gives `healdan` [@Campbell1959; @RingeTaylor2014].
2077-hold-healdan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		West Saxon `healdan` is the selected target here. Anglian and Mercian `haldan` are genuine non-West-Saxon doublets rather than corrections to that choice [@Campbell1959; @RingeTaylor2014].
2082-horn-horn.model.md	BosworthToller1898	localized	108		[@ClarkHall1960; @BosworthToller1898; @BrightCassidyRingler1971]	[@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]	Clark Hall, Bosworth-Toller, and Bright all record `horn` as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898; @BrightCassidyRingler1971]. The target is therefore the attested citation form.
2086-knight-cniht.model.md	BosworthToller1898	localized	71		"[@ClarkHall1960;
@BosworthToller1898]"	"[@ClarkHall1960;
@BosworthToller1898, 71]"	Old English dictionaries record the noun as `cniht` [@ClarkHall1960; @BosworthToller1898]. Campbell's discussion of related forms such as plural `cneohtas` helps show the same vowel environment from another point in the paradigm [@Campbell1959].
2086-knight-cniht.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		Old English dictionaries record the noun as `cniht` [@ClarkHall1960; @BosworthToller1898]. Campbell's discussion of related forms such as plural `cneohtas` helps show the same vowel environment from another point in the paradigm [@Campbell1959].
2086-knight-cniht.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		From `*knéxtaz`, the relevant Old English changes include breaking before the velar cluster and then the later reduction that yields `cniht` [@Campbell1959; @SieversBrunner1965]. With that corrected input, the derivation is straightforward.
2087-knob-cnobba.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		Bosworth-Toller and Clark Hall preserve Old English evidence of the `cnopp / cnoppa` type [@BosworthToller1898; @ClarkHall1960]. Those forms are genuine Old English evidence, but they belong to the voiceless branch of the family.
2088-lade-hladan.model.md	BosworthToller1898	localized	559		[@BosworthToller1898; @ClarkHall1960]	[@BosworthToller1898, 559; @ClarkHall1960]	Old English dictionaries record the verb as `hladan` and preserve the expected strong-verb paradigm material around it [@BosworthToller1898; @ClarkHall1960]. The target is an attested infinitive rather than a reconstructed paradigm cell.
2088-lade-hladan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@Campbell1959;
@RingeTaylor2014]"		From `*xláðaną`, the verb passes through the expected early voiced stop stage, Anglo-Frisian brightening, and the later A-restoration that returns the root vowel to `a` before the full infinitival ending [@Campbell1959; @RingeTaylor2014]. The resulting Old English infinitive is `hladan`.
2090-lap-lappa.model.md	BosworthToller1898	localized	613		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 613]	Campbell cites `lappa` as a case of restored `a`, while Sievers-Brunner records `lappa`, variant `læppa`, and plural or oblique `leappan` [@Campbell1959; @SieversBrunner1965]. The dictionary tradition also preserves `læppa` [@ClarkHall1960; @BosworthToller1898].
2090-lap-lappa.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		Campbell cites `lappa` as a case of restored `a`, while Sievers-Brunner records `lappa`, variant `læppa`, and plural or oblique `leappan` [@Campbell1959; @SieversBrunner1965]. The dictionary tradition also preserves `læppa` [@ClarkHall1960; @BosworthToller1898].
2090-lap-lappa.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		From `*láppô`, Anglo-Frisian brightening first yields `æ`, and later A-restoration returns the root vowel to `a` before the back-vocalic ending, after which shortening of the final vowel gives `lappa` [@Campbell1959; @SieversBrunner1965]. With the weak masculine input chosen, the OE development is regular.
2092-laugh-hliehhan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960; @BrightCassidyRingler1971]		Old English dictionaries and readers record the verb as `hliehhan`, while also preserving variants such as `hlæhhan` and `hlehhan` [@BosworthToller1898; @ClarkHall1960; @BrightCassidyRingler1971]. The target of this entry is the West Saxon `hliehhan`.
2092-laugh-hliehhan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Fulk2018; @Campbell1959]		From `*xláxjaną`, regular j-gemination yields the doubled fricative, and the subsequent Old English vowel developments lead to `hliehhan` [@Fulk2018; @Campbell1959]. Ringe and Taylor discuss the broken vowel of the Old English form as part of this same history, with possible support from the related noun `hleahtor` [@RingeTaylor2014].
2093-lead-lǣdan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		Clark Hall and Bosworth-Toller both record `lædan` / `lǣdan` as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898].
2100-lid-hlid.model.md	BosworthToller1898	localized	563		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 563]	Clark Hall and Bosworth-Toller record `hlid` as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898].
2102-light-līehtan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		Clark Hall and Bosworth-Toller preserve the verb family under spellings such as `liehtan`, `lihtan`, and `līhtan`, distinct from the related noun `lēoht` and adjective `leoht/liht` [@ClarkHall1960; @BosworthToller1898].
2102-light-līehtan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		Ringe and Taylor and Campbell distinguish West Saxon `liehtan` from Anglian `lihtan`, while later West Saxon also shows `lyhtan` [@RingeTaylor2014; @Campbell1959].
2104-linden-lind.model.md	BosworthToller1898	localized	630		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 630]	Clark Hall and Bosworth-Toller both record `lind` as the noun 'lime-tree, linden' [@ClarkHall1960; @BosworthToller1898].
2107-live-lifeþ.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		The ordinary dictionary headwords are `libban` and, in later remodeling, `lifian` [@BosworthToller1898; @ClarkHall1960]. For this entry, however, the relevant comparison form is the archaic 3sg present attested as `lifed`, here normalized as **`lifeþ`** [@RingeTaylor2014; @Campbell1959].
2107-live-lifeþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		The ordinary dictionary headwords are `libban` and, in later remodeling, `lifian` [@BosworthToller1898; @ClarkHall1960]. For this entry, however, the relevant comparison form is the archaic 3sg present attested as `lifed`, here normalized as **`lifeþ`** [@RingeTaylor2014; @Campbell1959].
2107-live-lifeþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@Campbell1959;
@RingeTaylor2014]"		From `*líbēθi`, regular reduction of the final syllable and later weakening of the unstressed vowel yield `lifeþ`. The attested spelling `lifed` belongs to the same finite form in late Northumbrian orthography [@Campbell1959; @RingeTaylor2014].
2109-loam-lām.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960, 196]		Old English dictionaries record the noun as `lām`, a neuter word for 'loam, clay, mud' [@BosworthToller1898; @ClarkHall1960, 196]. The target is an attested citation form rather than a reconstructed comparator.
2114-lung-lungen.model.md	BosworthToller1898	localized	634		[@BosworthToller1898]	[@BosworthToller1898, 634]	Old English dictionaries record the noun as `lungen`, with inflected forms such as `lungenne` and `lungena` [@BosworthToller1898]. Clark Hall also preserves a small family of compounds such as `lungenādl`, `lungensealf`, and `lungenwyrt` [@ClarkHall1960].
2119-man-mannes.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		Campbell gives the paradigm `mann, man / mannes / menn` [@Campbell1959]. Sievers-Brunner likewise cites `man mannes` and explains that word-final simplification underlies forms such as `man` beside inflected `monnes` [@SieversBrunner1965]. Clark Hall keeps the dictionary headword under `mann` [@ClarkHall1960].
2119-man-mannes.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		From `*mánnas`, Anglo-Frisian brightening yields `*mánnæs`, and the later unstressed merger gives `*mánnes`, hence `mannes` [@Campbell1959]. In this cell the geminate remains medial before `-es`. The citation form behaves differently because word-final gemination was simplified in Old English [@SieversBrunner1965].
2124-meed-meorde.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BrightCassidyRingler1971; @BosworthToller1898]		The directly attested forms are obliques: `meorde` as a dative singular and `meorda` as a genitive plural [@BrightCassidyRingler1971; @BosworthToller1898]. Lexicographers reconstruct a bare nominative `meord` from those obliques, while West Saxon prose more commonly shows the competing doublet `mēd` [@ClarkHall1960; @BosworthToller1898].
2124-meed-meorde.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		The directly attested forms are obliques: `meorde` as a dative singular and `meorda` as a genitive plural [@BrightCassidyRingler1971; @BosworthToller1898]. Lexicographers reconstruct a bare nominative `meord` from those obliques, while West Saxon prose more commonly shows the competing doublet `mēd` [@ClarkHall1960; @BosworthToller1898].
2126-milk-meoloc.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		Old English preserves a mixed dossier for this noun. Ringe and Taylor describe West Saxon `meolc < meoluc < *meluk`, Campbell likewise discusses `meoluc` and `meoloc`, and Anglian shows `milc` [@RingeTaylor2014; @Campbell1959].
2126-milk-meoloc.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		Syncopated `meolc` and Anglian `milc` belong to the competing leveled tradition associated with oblique forms, whereas `meoloc / meoluc` preserves the fuller nominal shape [@Campbell1959; @RingeTaylor2014].
2129-mother-mōder.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@ClarkHall1960; @Campbell1959; @RingeTaylor2014]		The transmitted Old English headword tradition is `mōdor / modor`, with oblique `mēder` in the paradigm. Clark Hall, Campbell, and Ringe and Taylor all preserve that contrast [@ClarkHall1960; @Campbell1959; @RingeTaylor2014].
2129-mother-mōder.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		From `*mōdēr`, the regular suffixal development yields `mōder`. That regular nominative reflex is the form represented here, while the more familiar citation form `mōdor` reflects later levelling within the r-stem paradigm [@Campbell1959; @RingeTaylor2014].
2133-navel-nafola.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		The Old English record includes `nafola`, `nafela`, and Corpus `nabula` [@RingeTaylor2014; @Campbell1959]. The target of this entry is the nominative singular **`nafola`**, the form that matches the selected derivational pathway most directly.
2134-neck-hnecca.model.md	BosworthToller1898	localized	567		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 567]	Old English dictionaries record the weak masculine noun `hnecca` [@ClarkHall1960; @BosworthToller1898]. The target is therefore an attested citation form, not an oblique cell or a reconstructed lemma.
2136-needle-nǣdl.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992]		Old English has the attested citation form **`nǣdl`** [@ClarkHall1960]. Campbell lists `nédl` among the expected unbroken forms after `t` and `d`, and Hogg also includes `nidi` / `nǣdl` in the same broader cluster history [@Campbell1959; @Hogg1992].
2136-needle-nǣdl.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		From `*nḗðlō`, the trace gives `*nḗdlō` by dental hardening, then `*nḗdlu`, `*nǣdlu`, and finally `*nǣdl`, hence `nǣdl` [@RingeTaylor2014; @Campbell1959].
2138-net-nett.model.md	BosworthToller1898	localized	29		[@ClarkHall1960; @BosworthToller1898; @Campbell1959]	[@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]	Clark Hall and Bosworth-Toller record `nett` as the noun, and Campbell notes that final geminates are often graphically simplified in Old English spelling [@ClarkHall1960; @BosworthToller1898; @Campbell1959].
2138-net-nett.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@ClarkHall1960; @BosworthToller1898; @Campbell1959]		Clark Hall and Bosworth-Toller record `nett` as the noun, and Campbell notes that final geminates are often graphically simplified in Old English spelling [@ClarkHall1960; @BosworthToller1898; @Campbell1959].
2138-net-nett.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Orel2003]		Spellings in `net` can therefore be graphic simplifications, but the lexical target supported by the dictionary evidence is `nett` [@Campbell1959; @Orel2003].
2140-night-niht.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		Clark Hall lemmatizes `niht` and records the spelling range `æ, e, ea, ie, y`, while cross-referencing forms such as `neaht`, `neht`, and `nieht` [@ClarkHall1960]. Campbell likewise preserves the fluctuation between `neaht` and `niht`, giving genitive `nihte, nihtes`, dative `niht, nihte`, nominative plural `niht`, and the contrasting plural-side forms represented by `neahtas` [@Campbell1959].
2140-night-niht.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@RingeTaylor2014; @Campbell1959;
@SieversBrunner1965]"		From `*náxti`, Anglo-Frisian brightening first fronts the root vowel, and the following high vowel then triggers i-umlaut. In West Saxon, the sequence before `ht` yields `niht`, whereas plural forms with a following back vowel preserve the non-umlauted `neahtas` type [@RingeTaylor2014; @Campbell1959; @SieversBrunner1965].
2143-nose-nosu.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		Kroonen reconstructs a Germanic ablaut pair `*nasō- ~ *nusō-` and adds that the root `*nus-` is likely to have arisen as a secondary zero grade after a remodeling of the older paradigm [@Kroonen2013]. Campbell is more specific for Old English, citing `nosu < *nusō` [@Campbell1959].
2152-rest-ræste.model.md	BosworthToller1898	localized	121		[@BosworthToller1898]	[@BosworthToller1898, 121]	The ordinary Old English citation form is `ræst` [@Kroonen2013; @ClarkHall1960]. Bosworth-Toller also preserves oblique uses of `ræste`, including prepositional examples such as `on ræste` and `tó ræste` [@BosworthToller1898].
2155-coat-rocc.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		Clark Hall and Bosworth-Toller record `rocc` as an over-garment or tunic and preserve compounds such as `bisceoprocc` and `breóstrocc` [@ClarkHall1960; @BosworthToller1898].
2155-coat-rocc.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		This entry concerns the garment noun only. The stone word seen in `stānrocc` belongs to a different lexical history [@ClarkHall1960; @BosworthToller1898].
2162-rust-rust.model.md	BosworthToller1898	localized	677		[@BosworthToller1898]	[@BosworthToller1898, 677]	The Old English noun is attested, not reconstructed. Clark Hall gives `rūst m.` [@ClarkHall1960], and Bosworth-Toller records `rúst (? and rust)` [@BosworthToller1898]. The form is normalized here as `rust` from that attested record.
2162-rust-rust.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@Campbell1959;
@RingeTaylor2014]"		Under the regular lowering of stressed `u` before a following non-high vowel, the citation-form input gives `rost`, not `rust` [@Campbell1959; @RingeTaylor2014]. The same regular result follows from the comparative citation-form reconstruction `*rustaz`.
2179-sheep-sċēap.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@ClarkHall1960; @Campbell1959]		Clark Hall records `scēap` with spelling variation, and Campbell likewise lists West Saxon `scéap` among the palatal-diphthongized forms [@ClarkHall1960; @Campbell1959].
2179-sheep-sċēap.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		Ringe and Taylor contrast West Saxon `scéap` with Mercian and Kentish `scép`, and Campbell also notes Northumbrian `scip`. The form represented here is the West Saxon headword [@RingeTaylor2014; @Campbell1959].
2181-shilling-sċilling.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@ClarkHall1960; @Campbell1959]		Clark Hall records `scilling`, and Campbell cites `scilling` among nouns whose derivational `-ing` keeps `i` in unstressed syllables [@ClarkHall1960; @Campbell1959]. The target represented here is the ordinary OE citation form, normalized as `sċilling`.
2181-shilling-sċilling.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992]		From `*skíllingaz`, loss of final `-az` yields `*skílling`. Old English palatalization of initial `sk` before front vocalism then gives `sċilling`. The note matters because derivational `-ing-` keeps `i`, so the regular outcome is `sċilling`, not `*sċilleng` [@Campbell1959; @Hogg1992].
2183-shoulder-sċuldrum.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		The ordinary Old English headword is **`sculdor`**. Bosworth-Toller and Clark Hall both lemmatize `sculdor` as the normal dictionary form, and the Bosworth-Toller material also preserves plural and oblique forms such as **`sculdru`**, **`sculdra`**, and **`sculdrum`** [@BosworthToller1898; @ClarkHall1960]. The dative plural **`sculdrum`** is directly attested in the dictionary material [@BosworthToller1898].
2183-shoulder-sċuldrum.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		The ordinary Old English headword is **`sculdor`**. Bosworth-Toller and Clark Hall both lemmatize `sculdor` as the normal dictionary form, and the Bosworth-Toller material also preserves plural and oblique forms such as **`sculdru`**, **`sculdra`**, and **`sculdrum`** [@BosworthToller1898; @ClarkHall1960]. The dative plural **`sculdrum`** is directly attested in the dictionary material [@BosworthToller1898].
2183-shoulder-sċuldrum.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		Bosworth-Toller's Supplement records a weak-feminine **`sculdra, an`**, so `sculdra` belongs to the Old English record beside the stronger masculine paradigm headed by `sculdor` [@BosworthToller1898]. Brunner and Luick also record later spellings such as **`sceoldor`** and the i-mutated dative plural **`scyldrum`**, which reflect secondary phonological and analogical reshaping within Old English [@SieversBrunner1965, §92.2.a; @Luick1914, p. 230].
2186-show-sċēawian.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Orel2003]		From `*skáwōjaną`, Old English `aw` before a following vowel yields `ēaw`, and the Class II suffix keeps `*ō` between `*w` and `*j`. The development therefore runs regularly to `sċēawian`, without the direct `*aw+j` problem seen in other verb types [@Campbell1959; @Orel2003].
2186-show-sċēawian.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992]		The difference between `scēawian` and `sċēawian` is orthographic normalization of initial `<sc>`, not a difference of lexeme or paradigm cell [@Campbell1959; @Hogg1992].
2198-smear-smierwan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @ClarkHall1960; @SieversBrunner1965; @BrightCassidyRingler1971]		The target represented here is the West Saxon citation form `smierwan`. Campbell's Anglian discussion explains the contrasting `smirwan`, and Clark Hall, Brunner, and Bright show that the same lexical family later also includes forms such as `smirian`, `smyrian`, and preterite `smyrode` [@Campbell1959; @ClarkHall1960; @SieversBrunner1965; @BrightCassidyRingler1971].
2198-smear-smierwan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		From `*smérwijaną`, breaking before `r + consonant` yields `eo`, and later i-umlaut produces `ie`. The result is West Saxon `smierwan`. Anglian `smirwan` reflects the well-known failure of breaking in this environment, not a different lexeme [@Campbell1959; @RingeTaylor2014].
2204-spar-spearra.model.md	Luick1914	broad		relevant Luick passage for the cited lemma/claim was not isolated confidently in the local text	[@Luick1914]		From `*spárrô`, Anglo-Frisian brightening gives `*spærrô`, and OE breaking before geminate `rr` yields `*spearrô`, later `spearra`. The development is therefore regular for a breaking-conditioned noun of this type [@Luick1914].
2217-still-stillan.model.md	BosworthToller1898	localized	724		[@BosworthToller1898]	[@BosworthToller1898, 724]	Clark Hall gives `stillan` as the verb and separately `stille` as the adjective [@ClarkHall1960]. Bosworth-Toller likewise preserves a substantial prefixed verbal family under `ge-stillan` and related forms [@BosworthToller1898]. The selected target is the verb `stillan`, not the adjective.
2232-sunder-sundrian.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960, 296; @BosworthToller1898]		Clark Hall and Bosworth-Toller keep `sundrian` and `syndrian` separate from adverbial `sundor`, and both preserve the prefixed verbal family `ā-sundrian` [@ClarkHall1960, 296; @BosworthToller1898]. The target represented here is therefore the weak verb `sundrian`.
2234-swallow-swealwe.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		Clark Hall records `swealwe (a, o)` as the noun headword [@ClarkHall1960]. Campbell and Brunner also preserve later or oblique-family forms such as `swaluwe`, `swalewan`, and `swealuwe`, but those belong to wider variation around the noun rather than to the citation form represented here [@Campbell1959; @SieversBrunner1965].
2234-swallow-swealwe.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@ClarkHall1960; @Campbell1959]		The final prose keeps the citation form `swealwe` separate from two different kinds of background material: the unrelated verb `swelgan`, and later or oblique spellings such as `swaluwe` or `swalewan` [@ClarkHall1960; @Campbell1959].
2248-think-þenċan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		Bosworth-Toller preserves the verb under `þencan/geþencan`, and the citation form here is the ordinary infinitive `þenċan` [@BosworthToller1898].
2248-think-þenċan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992]		Campbell's assibilation discussion uses the same verb `þencan`; the class-III relic `hycgan` is a different lexeme [@Campbell1959; @Hogg1992].
2260-token-tācn.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		Campbell and Sievers-Brunner preserve both unbroken `tācn` and broken `tācen`, with oblique `tācnes` remaining unbroken [@Campbell1959; @SieversBrunner1965].
2260-token-tācn.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		`tācn` is the attested unbroken citation form selected here. Later West Saxon prose often prefers `tācen`, but that does not displace the older unbroken form [@Campbell1959; @SieversBrunner1965].
2266-wade-wadan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014; @Luick1914]		Campbell and Ringe and Taylor describe A-restoration before a following back vowel, and Luick explicitly includes `wadan` among the standard open-syllable examples [@Campbell1959; @RingeTaylor2014; @Luick1914].
2266-wade-wadan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		From `*wádaną`, Anglo-Frisian brightening first gives `*wædaną`. A-restoration before the back-vocalic infinitive ending then returns `a`, and later reduction yields `wadan` [@Campbell1959; @RingeTaylor2014].
