form	source_path	source_ref	heading	category	sort_key	context	note
fyrhto	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md:34	### Old English evidence	likely_oe	fyrhto	records nominative forms such as `fyrhtu` and `fyrhto`	
fyrhtu	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md:34	### Old English evidence	likely_oe	fyrhtu	records nominative forms such as `fyrhtu` and `fyrhto`	
*galaubijana	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:891	## Historical discussion of prefixal \emph{*a}-reduction	likely_oe	galaubijana	Weakly stressed prefixes can lose their older low vowel early in Old English, and that is the historical setting for [SC035 OEPrefixAReduction](#rule-OEPrefixAR	
galla	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md:38	### Old English evidence	likely_oe	galla	`gealla` with Anglian `galla` [@Campbell1959, §486]. The target of this entry is the	
gangan	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md:29	### Form note	likely_false_positive	gangan	This entry concerns the noun `gang`, not the separate verb `gangan` [@ClarkHall1960; @BosworthToller1898, 159].	
*gangaz	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md:21	### Reconstruction and comparative evidence	likely_on	gangaz	Orel reconstructs the noun as `*gangaz` and cites Old English `gang` beside Old Norse `gangr`, Old Frisian `gang / gong`, Old Saxon `gang`, and Old High German 	
gangr	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md:21	### Reconstruction and comparative evidence	likely_on	gangr	Orel reconstructs the noun as `*gangaz` and cites Old English `gang` beside Old Norse `gangr`, Old Frisian `gang / gong`, Old Saxon `gang`, and Old High German 	
*garnăn	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md:21	### Reconstruction and comparative evidence	likely_oe	garnan	Kroonen cites the noun as `*garna-`, and Ringe and Taylor give the early chain `*garna > *geern > *gearn > OE gearn` [@Kroonen2013; @RingeTaylor2014, 220]. The 	
*garnăn	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md:33	### Form note	likely_pgmc	garnan	Dictionary `gearn` and normalized `ġearn` refer to the same noun. The comparative stem `*garna-` and oblique `*garnăn` do not replace the selected input `*gárną	
geafa	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:21	### Reconstruction and comparative evidence	likely_oe	geafa	Kroonen reconstructs the strong verb as `*geban-` and cites Old English `giefan` among its reflexes [@Kroonen2013]. Ringe and Taylor contrast West Saxon `giefan	
geafa	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:29	### Dialect note	likely_false_positive	geafa	West Saxon `ie` here reflects palatal diphthongization after initial palatalization; non-West-Saxon forms such as `geafa` or `for-geofan` continue the same verb	
gealla	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md:32	### Old English evidence	likely_oe	gealla	Old English dictionaries record the noun as `gealla`, and Bright also gives the	
gealla	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md:38	### Old English evidence	likely_oe	gealla	`gealla` with Anglian `galla` [@Campbell1959, §486]. The target of this entry is the	
geallan	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md:33	### Old English evidence	likely_oe	geallan	dative `geallan`, confirming a weak-noun paradigm [@BosworthToller1898, 297;	
gearn	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md:21	### Reconstruction and comparative evidence	likely_oe	gearn	Kroonen cites the noun as `*garna-`, and Ringe and Taylor give the early chain `*garna > *geern > *gearn > OE gearn` [@Kroonen2013; @RingeTaylor2014, 220]. The 	
gearn	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md:25	### Old English evidence	likely_oe	gearn	Clark Hall records `gearn (e) n.` 'yarn, spun wool', and Bosworth-Toller glosses `gearn` as `filatum` [@ClarkHall1960; @BosworthToller1898].	
gearn	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md:29	### Development to Old English	likely_false_positive	gearn	From `*gárną`, brightening and breaking before `rn` yield `gearn`; palatalization of initial `g` before the resulting front-vocalic sequence gives normalized `ġ	
gearn	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md:33	### Form note	likely_false_positive	gearn	Dictionary `gearn` and normalized `ġearn` refer to the same noun. The comparative stem `*garna-` and oblique `*garnăn` do not replace the selected input `*gárną	
ge-bann	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:33	### Old English evidence	likely_oe	gebann	Bosworth-Toller records the noun under nominative `ge-bann`, with oblique	
gebann	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:22	### Reconstruction and comparative evidence	likely_oe	gebann	of both masculine and neuter type and gives Old English `gebann` as the noun	
gebanne	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34	### Old English evidence	likely_oe	gebanne	usage such as `gebanne` [@BosworthToller1898, 303]. The exact unprefixed	
ge-byrd	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md:25	### Old English evidence	likely_oe	gebyrd	Clark Hall and Bosworth-Toller both attest simplex `byrd` as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898, 125]. The prefixed form `	
gebyrd	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md:25	### Old English evidence	likely_oe	gebyrd	Clark Hall and Bosworth-Toller both attest simplex `byrd` as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898, 125]. The prefixed form `	
gebyrdu	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md:25	### Old English evidence	likely_oe	gebyrdu	Clark Hall and Bosworth-Toller both attest simplex `byrd` as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898, 125]. The prefixed form `	
gefan	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:25	### Old English evidence	likely_oe	gefan	Campbell gives `gefan` (W-S `giefan`) among examples of initial palatalization, and Clark Hall records the verb under plain `giefan` with forms such as `geaf` a	
*ġelīefan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2583	## SC079. Loss of \emph{*j} after heavy syllables (`OEJLossAfterHeavy`) {#rule-OEJLossAfterHeavy}	likely_pgmc	geliefan	Its chronology is explicit on both sides. If the rule is moved before [SC055 OEIUmlaut](#rule-OEIUmlaut), PGmc \emph{*galáubijaną} yields *ġelēafan* rather than	
*ġelīefan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:773	## SC030. Fronting of \emph{*au} (`OEAuFronting`) {#rule-OEAuFronting}	likely_pgmc	geliefan	Its chronology is explicit on both sides. If the rule is moved before [SC029 OEAwjGlideFormation](#rule-OEAwjGlideFormation), PGmc \emph{*xáwwją} yields *hauġ* 	
*ġelīefan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:835	## SC032. Leveling of diphthongal outputs (`OEDiphthongLeveling`) {#rule-OEDiphthongLeveling}	likely_pgmc	geliefan	Its chronology is explicit on both sides. If the rule is moved before [SC030 OEAuFronting](#rule-OEAuFronting), PGmc \emph{*galáubijaną}, \emph{*báug}, and \emp	
*ġelīefan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:910	## SC035. Reduction of prefixal \emph{*a} (`OEPrefixAReduction`) {#rule-OEPrefixAReduction}	likely_pgmc	geliefan	Its chronology is one-sided but concrete. If the rule is delayed until after [SC043 AngloFrisianBrightening](#rule-AngloFrisianBrightening), PGmc \emph{*galáubi	
geoguþ	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md:28	### Reconstruction and comparative evidence	likely_oe	geoguth	`*jugunþi > *juguþ > OE geoguþ ~ iuguþ` [@RingeTaylor2014, 141]. The	
geond-scēawian	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md:28	### Old English evidence	likely_oe	geondsceawian	Bright lists the simplex headword `scēawian` and the imperative `scēawa`, and under `geond-scēawian` also records a third singular `-sceawað` [@BrightCassidyRin	
ġeong	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:408	## SC016. West Saxon palatal glide before back vowels (`OEWsPalatalGlide`) {#rule-OEWsPalatalGlide}	likely_pgmc	geong	Its chronology is real but one-sided. If the rule is delayed until after [SC017 NWGmcULowering](#rule-NWGmcULowering), PGmc \emph{*júką} yields *ġoc* rather tha	
ge-stillan	Germanic/docs/lexeme_reports/model_entries/2217-still-stillan.model.md	Germanic/docs/lexeme_reports/model_entries/2217-still-stillan.model.md:25	### Old English evidence	likely_oe	gestillan	Clark Hall gives `stillan` as the verb and separately `stille` as the adjective [@ClarkHall1960]. Bosworth-Toller likewise preserves a substantial prefixed verb	
gesundrian	Germanic/docs/lexeme_reports/model_entries/2232-sunder-sundrian.model.md	Germanic/docs/lexeme_reports/model_entries/2232-sunder-sundrian.model.md:21	### Reconstruction and comparative evidence	likely_oe	gesundrian	Orel distinguishes three related formations: adverbial `*sunþraz > sundor`, Class I verbal `*sunþrjanan > syndrian`, and Class II verbal `*sunþrōjanan > sundria	
giefan	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:21	### Reconstruction and comparative evidence	likely_oe	giefan	Kroonen reconstructs the strong verb as `*geban-` and cites Old English `giefan` among its reflexes [@Kroonen2013]. Ringe and Taylor contrast West Saxon `giefan	
giefan	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:25	### Old English evidence	likely_oe	giefan	Campbell gives `gefan` (W-S `giefan`) among examples of initial palatalization, and Clark Hall records the verb under plain `giefan` with forms such as `geaf` a	
giefan	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:33	### Development to Old English	likely_false_positive	giefan	From `*gébaną`, initial `g` palatalizes before `e`; West Saxon palatal diphthongization then yields `ie`, and later tail reduction gives `giefan` [@Campbell1959	
giefen	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:25	### Old English evidence	likely_oe	giefen	Campbell gives `gefan` (W-S `giefan`) among examples of initial palatalization, and Clark Hall records the verb under plain `giefan` with forms such as `geaf` a	
giest	Germanic/docs/lexeme_reports/model_entries/2049-guest-ġiest.model.md	Germanic/docs/lexeme_reports/model_entries/2049-guest-ġiest.model.md:25	### Old English evidence	likely_oe	giest	Bosworth-Toller and Clark Hall record the word under forms such as `gist`, `gest`, `giest`, and `gyst` [@BosworthToller1898; @ClarkHall1960]. The selected targe	
ginnan	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21	### Reconstruction and comparative evidence	likely_oe	ginnan	The verb is modeled here as inherited `*bigínnaną`. Ringe and Taylor state that intervocalic `*g` is palatalized between front vowels in Old English [@RingeTayl	
græf	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:25	### Old English evidence	likely_oe	graef	Clark Hall records `grafan` as the verb 'to dig, grave' and separately records noun `græf` 'grave, trench' [@ClarkHall1960]. The target here is the attested inf	
græf	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:33	### Form note	likely_oe	graef	Noun `græf` and verbal forms such as `græfð` or past participial `græfen` belong to other lexical or paradigm positions and do not replace the infinitive `grafa	
græfð	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:33	### Form note	likely_oe	graefd	Noun `græf` and verbal forms such as `græfð` or past participial `græfen` belong to other lexical or paradigm positions and do not replace the infinitive `grafa	
græfen	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:33	### Form note	likely_oe	graefen	Noun `græf` and verbal forms such as `græfð` or past participial `græfen` belong to other lexical or paradigm positions and do not replace the infinitive `grafa	
habban	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:22	### Reconstruction and comparative evidence	likely_oe	habban	`*xabēną` and Old English `habban` [@Kroonen2013, 237; @RingeTaylor2014, 93]. Within	
habban	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:34	### Old English evidence	likely_oe	habban	The ordinary Old English headword is `habban` [@ClarkHall1960, 157].	
habban	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:41	### Old English evidence	likely_oe	habban	directly than `habban` does.	
habban	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:46	### Development to Old English	likely_false_positive	habban	discuss this non-geminating present stem under `habban`	
habban	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:50	### Development to Old English	likely_false_positive	habban	The wider lexeme is less straightforward only because the infinitive `habban`	
hæfed	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:35	### Old English evidence	likely_oe	haefed	Campbell's Anglian paradigm includes unsyncopated 3sg forms of the `hæfed` type,	
hæfed	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:48	### Development to Old English	likely_oe	haefed	forms of the `hæfeþ` / `hæfed` type [@Campbell1959, §762].	
hær	Germanic/docs/lexeme_reports/model_entries/2051-hair-hǣr.model.md	Germanic/docs/lexeme_reports/model_entries/2051-hair-hǣr.model.md:25	### Old English evidence	likely_oe	haer	Clark Hall and Bosworth-Toller record `hær` / `hǣr` as the ordinary Old English noun 'hair' [@ClarkHall1960, 158; @BosworthToller1898, 510]. The target is there	
hærfest	Germanic/docs/lexeme_reports/model_entries/2057-harvest-hierfest.model.md	Germanic/docs/lexeme_reports/model_entries/2057-harvest-hierfest.model.md:25	### Old English evidence	likely_oe	haerfest	Bosworth-Toller and Clark Hall record `hærfest`, with `herfest` as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. Those attested form	
haldan	Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md	Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md:21	### Reconstruction and comparative evidence	likely_false_positive	haldan	Campbell and Ringe-Taylor treat the verb as a regular `*a + lC` breaking case, with West Saxon `healdan` opposed to Anglian and Mercian `haldan` [@Campbell1959;	
haldan	Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md	Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md:33	### Dialect note	likely_false_positive	haldan	West Saxon `healdan` is the selected target here. Anglian and Mercian `haldan` are genuine non-West-Saxon doublets rather than corrections to that choice [@Camp	
hamer	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md:22	### Reconstruction and comparative evidence	likely_false_positive	hamer	citation forms such as `hamor` and `hamer` [@Kroonen2013, 206; @Orel2003, 197;	
hamer	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md:34	### Old English evidence	likely_oe	hamer	`hamer` / `hamor` [@ClarkHall1960, 160].	
hamer	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md:46	### Development to Old English	likely_false_positive	hamer	The noun as a whole retains a mixed citation tradition in `hamor` and `hamer`,	
hamor	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md:22	### Reconstruction and comparative evidence	likely_false_positive	hamor	citation forms such as `hamor` and `hamer` [@Kroonen2013, 206; @Orel2003, 197;	
hamor	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md:34	### Old English evidence	likely_oe	hamor	`hamer` / `hamor` [@ClarkHall1960, 160].	
hamor	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md:46	### Development to Old English	likely_false_positive	hamor	The noun as a whole retains a mixed citation tradition in `hamor` and `hamer`,	
*hebun	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:27	### Reconstruction and comparative evidence	likely_pgmc	hebun	northern WGmc `*hebun` > West Saxon and Northumbrian `heofon`, Mercian	
*hebun	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:45	### Development to Old English	likely_pgmc	hebun	reflected in northern WGmc `*hebun` [@RingeTaylor2014, 324]. Campbell's	
heċġ	Germanic/docs/lexeme_reports/model_entries/2069-hedge-heġġ.model.md	Germanic/docs/lexeme_reports/model_entries/2069-hedge-heġġ.model.md:25	### Old English evidence	likely_oe	hecg	Bosworth-Toller and Clark Hall record the noun under standard spellings `hecg` / `heċġ` [@BosworthToller1898; @ClarkHall1960]. The lexical item itself is theref	
heċġ	Germanic/docs/lexeme_reports/model_entries/2069-hedge-heġġ.model.md	Germanic/docs/lexeme_reports/model_entries/2069-hedge-heġġ.model.md:33	### Form note	likely_oe	hecg	Standard dictionary spelling is `heċġ` or `hecg`. Normalized `heġġ` is the selected target here, while the ordinary lexicographic forms remain the main Old Engl	
hefen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:29	### Reconstruction and comparative evidence	likely_false_positive	hefen	`hefen` in the same West-Saxon `u`-umlaut environment [@Campbell1959, §210.1].	
hefen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:34	### Old English evidence	likely_oe	hefen	alongside Anglian or Mercian `hefen` material [@ClarkHall1960, 188;	
hefen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:46	### Development to Old English	likely_false_positive	hefen	`heofon` beside `hefen` and earlier `hefzen` show the later West-Saxon	
hefen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:51	### Development to Old English	likely_false_positive	hefen	explains the dialectal `hefen` type. West Saxon `heofon` reflects the oblique	
hefzen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:35	### Old English evidence	likely_oe	hefzen	@BosworthToller1898, 43]. Campbell also cites an earlier stage `hefzen` in the	
hefzen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:46	### Development to Old English	likely_false_positive	hefzen	`heofon` beside `hefen` and earlier `hefzen` show the later West-Saxon	
helma	Germanic/docs/lexeme_reports/model_entries/2070-helm-helm.model.md	Germanic/docs/lexeme_reports/model_entries/2070-helm-helm.model.md:25	### Old English evidence	likely_oe	helma	Clark Hall and Bosworth-Toller record `helm` as the ordinary Old English noun for 'helmet', while `helma` belongs to a separate rudder lexeme [@ClarkHall1960; @	
helma	Germanic/docs/lexeme_reports/model_entries/2070-helm-helm.model.md	Germanic/docs/lexeme_reports/model_entries/2070-helm-helm.model.md:33	### Form note	likely_oe	helma	Comparative `*helma-` is headword notation for the helmet cognate set. It should not be confused with Old English `helma`, which is a different noun meaning 'he	
heofen	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:28	### Reconstruction and comparative evidence	likely_false_positive	heofen	`heofen` [@RingeTaylor2014, 324]. Campbell likewise gives `heofon` beside	
*heofon	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:535	## SC021. Raising of unstressed \emph{*o} before later \emph{*u} (`NWGmcUnstressedORaising`) {#rule-NWGmcUnstressedORaising}	likely_pgmc	heofon	Its chronology is real but one-sided. If the rule is delayed until after [SC040 OEMedUnstressedULowering](#rule-OEMedUnstressedULowering), PGmc \emph{*xémonų} y	
herfest	Germanic/docs/lexeme_reports/model_entries/2057-harvest-hierfest.model.md	Germanic/docs/lexeme_reports/model_entries/2057-harvest-hierfest.model.md:25	### Old English evidence	likely_oe	herfest	Bosworth-Toller and Clark Hall record `hærfest`, with `herfest` as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. Those attested form	
herges	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:41	### Development to Old English	likely_false_positive	herges	way that Ringe and Taylor cite `herges` beside `here` [@RingeTaylor2014, 181].	
hindan	Germanic/docs/lexeme_reports/model_entries/2075-hind-hind.model.md	Germanic/docs/lexeme_reports/model_entries/2075-hind-hind.model.md:33	### Form note	likely_oe	hindan	`hindan` 'from behind, behind' is a different Old English lexeme and does not belong to the noun history of `hind` [@ClarkHall1960; @BosworthToller1898, 554].	
hlæhan	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:32	### Old English evidence	likely_oe	hlaehan	[@BosworthToller1898, 551]. Clark Hall cross-references `hlæhan`,	
*hlahtraz	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:47	### Development to Old English	likely_pgmc	hlahtraz	as the outcome of `*hlahtraz` [@RingeTaylor2014, 328].	
hleahtor	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:46	### Development to Old English	likely_false_positive	hleahtor	[@RingeTaylor2014, 240]. They separately compare the related noun `hleahtor`	
hlehhan	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:33	### Old English evidence	likely_oe	hlehhan	`hlehhan`, and `hlihhan` to `hliehhan` [@ClarkHall1960, 160-161]. Bright's	
hlihhan	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:31	### Old English evidence	likely_oe	hlihhan	Bosworth-Toller records `hlihhan` as the verb 'to laugh'	
hlihhan	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:33	### Old English evidence	likely_oe	hlihhan	`hlehhan`, and `hlihhan` to `hliehhan` [@ClarkHall1960, 160-161]. Bright's	
hliþó	Germanic/docs/lexeme_reports/model_entries/2100-lid-hlid.model.md	Germanic/docs/lexeme_reports/model_entries/2100-lid-hlid.model.md:21	### Reconstruction and comparative evidence	likely_on	hlitho	Orel cites a neuter lexeme of the `*xliđ-` type with Old English `hlid`, and Lloyd includes OE `hlid` beside ON `hliþó` and OHG `(h)lit` among forms that retain	
*hnakkuns	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md:23	### Reconstruction and comparative evidence	likely_oe	hnakkuns	`*hnakkuns`, and he places Old English `hnecca` among the e-grade descendants	
*hnekkō	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md:22	### Reconstruction and comparative evidence	likely_pgmc	hnekko	with nominative `*hnekkō`, genitive `*hnukkaz`, and accusative plural	
*hnukkaz	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md:22	### Reconstruction and comparative evidence	likely_pgmc	hnukkaz	with nominative `*hnekkō`, genitive `*hnukkaz`, and accusative plural	
hrefn	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md:36	### Development to Old English	likely_false_positive	hrefn	while comparable medial clusters remain unbroken; his examples include `hrefn`,	
hund-tēon-tig	Germanic/docs/lexeme_reports/model_entries/2242-ten-tēon.model.md	Germanic/docs/lexeme_reports/model_entries/2242-ten-tēon.model.md:23	### Reconstruction and comparative evidence	likely_oe	hundteontig	**`hund-tēon-tig`** [@Fulk2018, §10.2]. Brunner gives the same contrast more	
