entry	class_bucket	source_key	current_citation	surrounding_claim	source_layer	candidate_locator	locator_basis	action	file_changed	note
grave — OE grafan	regular	ClarkHall1960	[@ClarkHall1960]	Campbell gives _grafan_ among the standard examples of Old English a-restoration before a single consonant and a following back vowel, and Ringe and Taylor describe the same development for Class VI infinitives [@Campbell1959, 61; @RingeTaylor2014]. Clark Hall records _grafan_ as the verb 'to dig, grave' and separately records noun _græf_ 'grave, trench' [@ClarkHall1960]. From _\*grábaną_, Anglo-Frisian brightening first gives a fronted stem vowel.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1152
grave — OE grafan	regular	ClarkHall1960	[@ClarkHall1960]	Form note. Noun _græf_ and verbal forms such as _græfð_ or past participial _græfen_ belong to other lexical or paradigm positions and do not replace the infinitive _grafan_ as the target here [@ClarkHall1960].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1154
hair — OE hǣr	regular	Kroonen2013	[@Kroonen2013]	Kroonen cites the ordinary Proto-Germanic hair word as _\*hēra-_ [@Kroonen2013]. The selected input _\*xḗrą_ represents that same long-ē stem in the present derivation. Clark Hall and Bosworth-Toller record _hær_ / _hǣr_ as the ordinary Old English noun 'hair' [@ClarkHall1960, 158; @BosworthToller1898, 510]. From _\*xḗrą_, Northwest Germanic lowering gives a long front vowel, and later loss of the final nasal leaves the Old English form _hǣr_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1249
hair — OE hǣr	regular	Kroonen2013	[@Kroonen2013; @ClarkHall1960, 158]	Form note. Older references to _\*xazwăz_ belong to a different lexeme, and the separate haddr / heordan / _hād-_ material does not displace the ordinary simplex _hǣr_ treated here [@Kroonen2013; @ClarkHall1960, 158].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1251
harvest — OE hierfest	regular	Bammesberger1997	[@Bammesberger1997; @RingeTaylor2014]	Bammesberger and Ringe-Taylor treat _\*harbist-_ as the inherited base and explain that the regular native West Saxon development would be of the _hierfest / hyrfest_ type [@Bammesberger1997; @RingeTaylor2014]. Bosworth-Toller and Clark Hall record _hærfest_, with _herfest_ as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. From _\*xárbistuz_, Anglo-Frisian brightening, breaking, and i-mutation produce a _hierbist-_ stage, and later lowering of unstressed medial _i_ to _e_ gives _hierfest_.	regular book-prose overlay	224 / 230	Article text on p. 224 gives the expected West Saxon *hierfest/*hyrfest development; p. 230 states that the West Saxon continuation is unattested.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2057-harvest-hierfest.book.md	same_source_has_locator_elsewhere_in_volume=no; prior_classification=unresolved; line=1301; verified in local page-marked source and applied in compact regular book prose
harvest — OE hierfest	regular	RingeTaylor2014	[@Bammesberger1997; @RingeTaylor2014]	Bammesberger and Ringe-Taylor treat _\*harbist-_ as the inherited base and explain that the regular native West Saxon development would be of the _hierfest / hyrfest_ type [@Bammesberger1997; @RingeTaylor2014]. Bosworth-Toller and Clark Hall record _hærfest_, with _herfest_ as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. From _\*xárbistuz_, Anglo-Frisian brightening, breaking, and i-mutation produce a _hierbist-_ stage, and later lowering of unstressed medial _i_ to _e_ gives _hierfest_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1301
harvest — OE hierfest	regular	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960]	Bammesberger and Ringe-Taylor treat _\*harbist-_ as the inherited base and explain that the regular native West Saxon development would be of the _hierfest / hyrfest_ type [@Bammesberger1997; @RingeTaylor2014]. Bosworth-Toller and Clark Hall record _hærfest_, with _herfest_ as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. From _\*xárbistuz_, Anglo-Frisian brightening, breaking, and i-mutation produce a _hierbist-_ stage, and later lowering of unstressed medial _i_ to _e_ gives _hierfest_.	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1301
harvest — OE hierfest	regular	ClarkHall1960	[@BosworthToller1898; @ClarkHall1960]	Bammesberger and Ringe-Taylor treat _\*harbist-_ as the inherited base and explain that the regular native West Saxon development would be of the _hierfest / hyrfest_ type [@Bammesberger1997; @RingeTaylor2014]. Bosworth-Toller and Clark Hall record _hærfest_, with _herfest_ as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. From _\*xárbistuz_, Anglo-Frisian brightening, breaking, and i-mutation produce a _hierbist-_ stage, and later lowering of unstressed medial _i_ to _e_ gives _hierfest_.	regular book-prose overlay	158 / 171	Clark Hall hærfest headword and herfest cross-reference in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2057-harvest-hierfest.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1301; verified in local page-marked source and applied in compact regular book prose
harvest — OE hierfest	regular	Bammesberger1997	[@Bammesberger1997; @RingeTaylor2014]	Source note. The selected target _hierfest_ represents the regular native West Saxon outcome discussed by Bammesberger and Ringe-Taylor. The attested Old English lexical tradition, however, is chiefly _hærfest_ / herfest, commonly treated as non-West-Saxon or Anglian material in West Saxon transmission [@Bammesberger1997; @RingeTaylor2014].	regular book-prose overlay	224 / 230	Article text on p. 224 gives the expected West Saxon *hierfest/*hyrfest development; p. 230 states that the West Saxon continuation is unattested.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2057-harvest-hierfest.book.md	same_source_has_locator_elsewhere_in_volume=no; prior_classification=unresolved; line=1303; verified in local page-marked source and applied in compact regular book prose
harvest — OE hierfest	regular	RingeTaylor2014	[@Bammesberger1997; @RingeTaylor2014]	Source note. The selected target _hierfest_ represents the regular native West Saxon outcome discussed by Bammesberger and Ringe-Taylor. The attested Old English lexical tradition, however, is chiefly _hærfest_ / herfest, commonly treated as non-West-Saxon or Anglian material in West Saxon transmission [@Bammesberger1997; @RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1303
hedge — OE heġġ	regular	Campbell1959	[@Campbell1959]	The selected input models a palatal _\*-gj-_ noun whose Old English development includes gemination, palatalization, and i-mutation. The current derivation therefore reaches a palatal-geminate outcome of the _heġġ_ type [@Campbell1959]. Bosworth-Toller and Clark Hall record the noun under standard spellings _hecg_ / _heċġ_ [@BosworthToller1898; @ClarkHall1960]. From _\*xágjaz_, West Germanic j-gemination first yields a geminate stop, and later Old English palatalization and loss of final _j_ produce _heġġ_.	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1354
hedge — OE heġġ	regular	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960]	The selected input models a palatal _\*-gj-_ noun whose Old English development includes gemination, palatalization, and i-mutation. The current derivation therefore reaches a palatal-geminate outcome of the _heġġ_ type [@Campbell1959]. Bosworth-Toller and Clark Hall record the noun under standard spellings _hecg_ / _heċġ_ [@BosworthToller1898; @ClarkHall1960]. From _\*xágjaz_, West Germanic j-gemination first yields a geminate stop, and later Old English palatalization and loss of final _j_ produce _heġġ_.	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1354
hedge — OE heġġ	regular	ClarkHall1960	[@BosworthToller1898; @ClarkHall1960]	The selected input models a palatal _\*-gj-_ noun whose Old English development includes gemination, palatalization, and i-mutation. The current derivation therefore reaches a palatal-geminate outcome of the _heġġ_ type [@Campbell1959]. Bosworth-Toller and Clark Hall record the noun under standard spellings _hecg_ / _heċġ_ [@BosworthToller1898; @ClarkHall1960]. From _\*xágjaz_, West Germanic j-gemination first yields a geminate stop, and later Old English palatalization and loss of final _j_ produce _heġġ_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1354
hedge — OE heġġ	regular	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960]	Form note. Standard dictionary spelling is _heċġ_ or _hecg_. Normalized _heġġ_ is the selected target here, while the ordinary lexicographic forms remain the main Old English citation evidence [@BosworthToller1898; @ClarkHall1960].	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1356
hedge — OE heġġ	regular	ClarkHall1960	[@BosworthToller1898; @ClarkHall1960]	Form note. Standard dictionary spelling is _heċġ_ or _hecg_. Normalized _heġġ_ is the selected target here, while the ordinary lexicographic forms remain the main Old English citation evidence [@BosworthToller1898; @ClarkHall1960].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1356
helm — OE helm	regular	Kroonen2013	[@Kroonen2013]	Kroonen cites the helmet noun as _\*helma-_ and separately distinguishes a different lexeme _\*helman-_ 'rudder' [@Kroonen2013]. The selected input _\*xélmaz_ is the nominative-style form used for the helmet noun itself. Clark Hall and Bosworth-Toller record _helm_ as the ordinary Old English noun for 'helmet', while _helma_ belongs to a separate rudder lexeme [@ClarkHall1960; @BosworthToller1898, 542]. From _\*xélmaz_, loss of final _z_ and later loss of the short final vowel yield _helm_.	regular book-prose overlay	259	Kroonen *helma- helmet entry in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2070-helm-helm.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1401; verified in local page-marked source and applied in compact regular book prose
helm — OE helm	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 542]	Kroonen cites the helmet noun as _\*helma-_ and separately distinguishes a different lexeme _\*helman-_ 'rudder' [@Kroonen2013]. The selected input _\*xélmaz_ is the nominative-style form used for the helmet noun itself. Clark Hall and Bosworth-Toller record _helm_ as the ordinary Old English noun for 'helmet', while _helma_ belongs to a separate rudder lexeme [@ClarkHall1960; @BosworthToller1898, 542]. From _\*xélmaz_, loss of final _z_ and later loss of the short final vowel yield _helm_.	regular book-prose overlay	168	Clark Hall helm / helma entries in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2070-helm-helm.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1401; verified in local page-marked source and applied in compact regular book prose
helm — OE helm	regular	Kroonen2013	[@Kroonen2013; @ClarkHall1960]	Form note. Comparative _\*helma-_ is headword notation for the helmet cognate set. It should not be confused with Old English _helma_, which is a different noun meaning 'helm, rudder' [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay	259	Kroonen *helma- helmet entry in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2070-helm-helm.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1403; verified in local page-marked source and applied in compact regular book prose
helm — OE helm	regular	ClarkHall1960	[@Kroonen2013; @ClarkHall1960]	Form note. Comparative _\*helma-_ is headword notation for the helmet cognate set. It should not be confused with Old English _helma_, which is a different noun meaning 'helm, rudder' [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay	168	Clark Hall helm / helma entries in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2070-helm-helm.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1403; verified in local page-marked source and applied in compact regular book prose
help — OE helpan	regular	BrightCassidyRingler1971	[@BrightCassidyRingler1971]	The entry treats the strong verb itself rather than the separate noun _help_. Bright's principal parts _helpan, healp, hulpon, holpen_ show the ordinary Old English strong-verb family continued by this input [@BrightCassidyRingler1971]. Clark Hall and Bosworth-Toller record _helpan_ as the verbal headword 'to help' [@ClarkHall1960; @BosworthToller1898, 542]. From _\*xélpaną_, no special repair is needed beyond the ordinary reduction of the infinitive ending.	regular book-prose overlay	57	Bright principal-parts table with helpan, healp, hulpon, holpen.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2071-help-helpan.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1448; verified in local page-marked source and applied in compact regular book prose
help — OE helpan	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 542]	The entry treats the strong verb itself rather than the separate noun _help_. Bright's principal parts _helpan, healp, hulpon, holpen_ show the ordinary Old English strong-verb family continued by this input [@BrightCassidyRingler1971]. Clark Hall and Bosworth-Toller record _helpan_ as the verbal headword 'to help' [@ClarkHall1960; @BosworthToller1898, 542]. From _\*xélpaną_, no special repair is needed beyond the ordinary reduction of the infinitive ending.	regular book-prose overlay	168	Clark Hall helpan headword in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2071-help-helpan.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1448; verified in local page-marked source and applied in compact regular book prose
help — OE helpan	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 542]	Form note. Noun _help_ belongs to a separate lexical line and should not replace verbal _helpan_ as the target here [@ClarkHall1960; @BosworthToller1898, 542].	regular book-prose overlay	168	Clark Hall helpan headword in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2071-help-helpan.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1450; verified in local page-marked source and applied in compact regular book prose
hind — OE hind	regular	Kroonen2013	[@Kroonen2013]	Kroonen cites the animal name as _\*hindō-_ f. 'hind' [@Kroonen2013]. The selected input _\*xéndjō_ represents that same noun in the present derivation. Clark Hall and Bosworth-Toller record _hind_ as the noun 'hind, female deer' [@ClarkHall1960; @BosworthToller1898, 554]. From _\*xéndjō_, i-mutation produces the front-vocalic Old English stem, and later apocope plus loss of final _j_ yield _hind_.	regular book-prose overlay	266	Kroonen *hindō- entry in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2075-hind-hind.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1497; verified in local page-marked source and applied in compact regular book prose
hind — OE hind	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 554]	Kroonen cites the animal name as _\*hindō-_ f. 'hind' [@Kroonen2013]. The selected input _\*xéndjō_ represents that same noun in the present derivation. Clark Hall and Bosworth-Toller record _hind_ as the noun 'hind, female deer' [@ClarkHall1960; @BosworthToller1898, 554]. From _\*xéndjō_, i-mutation produces the front-vocalic Old English stem, and later apocope plus loss of final _j_ yield _hind_.	regular book-prose overlay	173	Clark Hall hind headword in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2075-hind-hind.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1497; verified in local page-marked source and applied in compact regular book prose
hind — OE hind	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 554]	Form note. _hindan_ 'from behind, behind' is a different Old English lexeme and does not belong to the noun history of _hind_ [@ClarkHall1960; @BosworthToller1898, 554].	regular book-prose overlay	173	Clark Hall hind headword in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2075-hind-hind.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1499; verified in local page-marked source and applied in compact regular book prose
hold — OE healdan	regular	Campbell1959	[@Campbell1959; @RingeTaylor2014]	Campbell and Ringe-Taylor treat the verb as a regular _\*a_ + lC breaking case, with West Saxon _healdan_ opposed to Anglian and Mercian _haldan_ [@Campbell1959; @RingeTaylor2014]. Bright gives the ordinary strong-verb citation form and principal parts _healdan, heold, heoldon, healden_ [@BrightCassidyRingler1971]. From _\*xáldaną_, Anglo-Frisian brightening first yields a fronted vowel, and West Saxon breaking then produces _ea_ before _ld_.	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1546
hold — OE healdan	regular	RingeTaylor2014	[@Campbell1959; @RingeTaylor2014]	Campbell and Ringe-Taylor treat the verb as a regular _\*a_ + lC breaking case, with West Saxon _healdan_ opposed to Anglian and Mercian _haldan_ [@Campbell1959; @RingeTaylor2014]. Bright gives the ordinary strong-verb citation form and principal parts _healdan, heold, heoldon, healden_ [@BrightCassidyRingler1971]. From _\*xáldaną_, Anglo-Frisian brightening first yields a fronted vowel, and West Saxon breaking then produces _ea_ before _ld_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1546
hold — OE healdan	regular	BrightCassidyRingler1971	[@BrightCassidyRingler1971]	Campbell and Ringe-Taylor treat the verb as a regular _\*a_ + lC breaking case, with West Saxon _healdan_ opposed to Anglian and Mercian _haldan_ [@Campbell1959; @RingeTaylor2014]. Bright gives the ordinary strong-verb citation form and principal parts _healdan, heold, heoldon, healden_ [@BrightCassidyRingler1971]. From _\*xáldaną_, Anglo-Frisian brightening first yields a fronted vowel, and West Saxon breaking then produces _ea_ before _ld_.	regular book-prose overlay	62	Bright principal-parts table with healdan, heold, heoldon, healden.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2077-hold-healdan.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1546; verified in local page-marked source and applied in compact regular book prose
hold — OE healdan	regular	Campbell1959	[@Campbell1959; @RingeTaylor2014]	Dialect note. West Saxon _healdan_ is the selected target here. Anglian and Mercian _haldan_ are genuine non-West-Saxon doublets rather than corrections to that choice [@Campbell1959; @RingeTaylor2014].	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1548
hold — OE healdan	regular	RingeTaylor2014	[@Campbell1959; @RingeTaylor2014]	Dialect note. West Saxon _healdan_ is the selected target here. Anglian and Mercian _haldan_ are genuine non-West-Saxon doublets rather than corrections to that choice [@Campbell1959; @RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1548
horn — OE horn	regular	Kroonen2013	[@Kroonen2013; @Orel2003, 234]	Kroonen and Orel cite lemma-style Proto-Germanic headwords of the _\*hurna-_ / _\*xurnan_ type for this noun [@Kroonen2013; @Orel2003, 234]. The selected input _\*xúrną_ is the nominative-style form used in the derivation here. Clark Hall, Bosworth-Toller, and Bright all record _horn_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]. From _\*xúrną_, Northwest Germanic u-lowering gives _\*xórną_, and later loss of the final nasal leaves _horn_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1592
horn — OE horn	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]	Kroonen and Orel cite lemma-style Proto-Germanic headwords of the _\*hurna-_ / _\*xurnan_ type for this noun [@Kroonen2013; @Orel2003, 234]. The selected input _\*xúrną_ is the nominative-style form used in the derivation here. Clark Hall, Bosworth-Toller, and Bright all record _horn_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]. From _\*xúrną_, Northwest Germanic u-lowering gives _\*xórną_, and later loss of the final nasal leaves _horn_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1592
horn — OE horn	regular	BrightCassidyRingler1971	[@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]	Kroonen and Orel cite lemma-style Proto-Germanic headwords of the _\*hurna-_ / _\*xurnan_ type for this noun [@Kroonen2013; @Orel2003, 234]. The selected input _\*xúrną_ is the nominative-style form used in the derivation here. Clark Hall, Bosworth-Toller, and Bright all record _horn_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]. From _\*xúrną_, Northwest Germanic u-lowering gives _\*xórną_, and later loss of the final nasal leaves _horn_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1592
horn — OE horn	regular	Kroonen2013	[@Kroonen2013; @Orel2003, 234]	Form note. The note's oblique _\*xurnăn_ belongs to comparative stem background only. It does not replace the selected input _\*xúrną_ as the derivational form used here [@Kroonen2013; @Orel2003, 234].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1594
lead — OE lǣdan	regular	RingeTaylor2014	[@RingeTaylor2014; @Kroonen2013, 363]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1643
lead — OE lǣdan	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1643
lead — OE lǣdan	regular	BosworthToller1898	[@ClarkHall1960; @BosworthToller1898]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay		left broad this pass; conditional source not re-verified here unless the target claim was safely anchored	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=conditional; line=1643
lead — OE lǣdan	regular	RingeTaylor2014	[@RingeTaylor2014]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1643
lid — OE hlid	regular	Orel2003	[@Orel2003; @Lloyd1966]	Orel cites a neuter lexeme of the _\*xliđ-_ type with Old English _hlid_, and Lloyd includes OE _hlid_ beside ON _hliþó_ and OHG _(h)lit_ among forms that retain _i_ [@Orel2003; @Lloyd1966]. Clark Hall and Bosworth-Toller record _hlid_ as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898, 563]. The selected input already represents the later Germanic _hliđ-_ stage used for the derivation here.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1736
lid — OE hlid	regular	Lloyd1966	[@Orel2003; @Lloyd1966]	Orel cites a neuter lexeme of the _\*xliđ-_ type with Old English _hlid_, and Lloyd includes OE _hlid_ beside ON _hliþó_ and OHG _(h)lit_ among forms that retain _i_ [@Orel2003; @Lloyd1966]. Clark Hall and Bosworth-Toller record _hlid_ as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898, 563]. The selected input already represents the later Germanic _hliđ-_ stage used for the derivation here.	regular book-prose overlay		left broad; outside the targeted high-yield cleanup set	left_broad		same_source_has_locator_elsewhere_in_volume=no; prior_classification=unresolved; line=1736
lid — OE hlid	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 563]	Orel cites a neuter lexeme of the _\*xliđ-_ type with Old English _hlid_, and Lloyd includes OE _hlid_ beside ON _hliþó_ and OHG _(h)lit_ among forms that retain _i_ [@Orel2003; @Lloyd1966]. Clark Hall and Bosworth-Toller record _hlid_ as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898, 563]. The selected input already represents the later Germanic _hliđ-_ stage used for the derivation here.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1736
lid — OE hlid	regular	Orel2003	[@Orel2003; @Lloyd1966]	Form note. An earlier etymological stage _\*liþuz_ belongs to comparative background only. The form represented here is the later _\*xlídą_ > hlid line that matches the attested Old English noun [@Orel2003; @Lloyd1966].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=1738
lid — OE hlid	regular	Lloyd1966	[@Orel2003; @Lloyd1966]	Form note. An earlier etymological stage _\*liþuz_ belongs to comparative background only. The form represented here is the later _\*xlídą_ > hlid line that matches the attested Old English noun [@Orel2003; @Lloyd1966].	regular book-prose overlay		left broad; outside the targeted high-yield cleanup set	left_broad		same_source_has_locator_elsewhere_in_volume=no; prior_classification=unresolved; line=1738
