global_order	class_order	row_id	lexical_item	counterpart	proto	proto_stage	protoform	protoform_stage	protoform_variety	derivation_class	class_bucket	section_title	model_entry_path	trace_match_status	trace_match_basis	notes
110	32	2284	whale	hwæl	*wálaz	pgmc	*xwálaz	pgmc		early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2284-whale-hwæl.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
111	33	2286	whine	hwīnan	*wainōjaną	pgmc	*xwḯnaną	pgmc		early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2286-whine-hwīnan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
112	34	2296	withy	wīþiġ	*wáiθiz	pgmc	*wḯθagą	pgmc		early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
113	35	2302	world	weorold	*wíra-àldiz	pgmc	*wír-àldu	pgmc	transponent	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
114	36	2308	youth	ġeoguþ	*júgunθiz	pgmc	*júgunθ	pwgmc		early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
115	1	1936	ban	bannes	*bánną	pgmc	*bánnas	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
116	2	1946	berry	berġes	*bázją	pgmc	*bázjas	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
117	3	1962	bow	bēag	*béuganą	pgmc	*báug	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
118	4	1980	cow	cȳ	*kōz	pgmc	*kūi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/1980-cow-cȳ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
119	5	2011	find	fundene	*fínθaną	pgmc	*fúnðanǭ	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
120	6	2034	fright	fyrhte	*furxtīn	pgmc	*fúrxtīnaz	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
121	7	2053	hammer	hameres	*xámaraz	pgmc	*xámaras	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2053-hammer-hameres.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
122	8	2058	have	hæfeþ	*xabēną	pgmc	*xábēθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
123	9	2107	live	lifeþ	*libēną	pgmc	*líbēθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2107-live-lifeþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
124	10	2119	man	mannes	*mánnaz	pgmc	*mánnas	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2119-man-mannes.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
125	11	2124	meed	meorde	*mizdō	pgmc	*mízdai	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
126	12	2140	night	niht	*náxtz	pgmc	*náxti	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
127	13	2152	rest	ræste	*rastō	pgmc	*rástōz	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2152-rest-ræste.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
128	14	2183	shoulder	sċuldrum	*skuldrō	pgmc	*skúldramiz	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2183-shoulder-sċuldrum.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
129	15	2184	shove	sċēaf	*skéubaną	pgmc	*skáub	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
130	16	2203	span	spanne	*spannō	pgmc	*spánnai	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
131	17	2250	thistle	þistles	*θéstilaz	pgmc	*θístilas	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
132	18	2309	make (iptv.2sg)	maca	*makōną	pgmc	*mákô	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2309-make-(iptv.2sg)-maca.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
133	19	2310	make (3sg)	macaþ	*makōną	pgmc	*mákōθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2310-make-(3sg)-macaþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
134	20	2311	bore (iptv.2sg)	bora	*burōną	pgmc	*búrô	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
135	21	2312	bore (3sg)	boraþ	*burōną	pgmc	*búrōθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
136	22	2313	learn (iptv.2sg)	liorna	*liznōjaną	pgmc	*líznô	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2313-learn-(iptv.2sg)-liorna.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
137	23	2314	learn (3sg)	liornaþ	*liznōjaną	pgmc	*líznōθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2314-learn-(3sg)-liornaþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
138	24	2315	lick (iptv.2sg)	licca	*likkōną	pgmc	*líkkô	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2315-lick-(iptv.2sg)-licca.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
139	25	2316	lick (3sg)	liccaþ	*likkōną	pgmc	*líkkōθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2316-lick-(3sg)-liccaþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
140	26	2317	show (iptv.2sg)	sċēawa	*skawōną	pgmc	*skáwô	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2317-show-(iptv.2sg)-sċēawa.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
141	27	2318	show (3sg)	sċēawaþ	*skawōną	pgmc	*skáwōθi	pgmc		late_analogy	late_analogy	Late analogy and paradigm-cell selection	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
142	1	2087	knob	cnobba	*knúppaz	pgmc	*knúbbô	pgmc		reconstructed_oe	reconstructed_oe	Reconstructed Old English comparators	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	title counterpart differs from metadata COUNTERPART
143	2	2151	reek	rēac	*ráukiz	pgmc	*ráukaz	pgmc		reconstructed_oe	reconstructed_oe	Reconstructed Old English comparators	Germanic/docs/lexeme_reports/model_entries/2151-reek-rēac.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	title counterpart differs from metadata COUNTERPART
144	3	2227	strew	strīeġan	*stráwjaną	pgmc	*stráwjaną	pgmc		reconstructed_oe	reconstructed_oe	Reconstructed Old English comparators	Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	title counterpart differs from metadata COUNTERPART
145	1	2013	fire	fȳre	*fūri	pgmc	*fūri	pgmc		known_unmodelled	known_unmodelled	Known but unmodelled remodellings	Germanic/docs/lexeme_reports/model_entries/2013-fire-fȳre.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
146	2	2240	tap	tæppa	*táppô	pgmc	*táppô	pgmc		known_unmodelled	known_unmodelled	Known but unmodelled remodellings	Germanic/docs/lexeme_reports/model_entries/2240-tap-tæppa.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
147	1	1973	buck	bucc	*búkkaz	pgmc	*búkkaz	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
148	2	2030	fowl	fugol	*fúglaz	pgmc	*fúglaz	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2030-fowl-fugol.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
149	3	2162	rust	rust	*rústō	pgmc	*rústō	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
150	4	2298	wolf	wulf	*wúlfaz	pgmc	*wúlfaz	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
151	5	2300	wool	wull	*wúllō	pgmc	*wúllō	pgmc		unexplained_unmodelled	unexplained_unmodelled	Unexplained or deliberately unmodelled exceptions	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED	
