entry	class_bucket	source_key	current_citation	surrounding_sentence	source_layer	candidate_locator	locator_basis	action	reason_if_left_broad	file_changed	status
horn — OE horn	A	Kroonen2013	[@Kroonen2013; @Orel2003, 234]	Kroonen and Orel cite lemma-style Proto-Germanic headwords of the _\*hurna-_ / _\*xurnan_ type for this noun [@Kroonen2013; @Orel2003, 234]. The selected input _\*xúrną_ is the nominative-style form used in the derivation here. Clark Hall, Bosworth-Toller, and Bright all record _horn_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]. From _\*xúrną_, Northwest Germanic u-lowering gives _\*xórną_, and later loss of the final nasal leaves _horn_.	regular book-prose overlay	299	Kroonen headword *hurna- verified in local page-marked OCR.	locator_added		yes	tightened
horn — OE horn	A	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]	Kroonen and Orel cite lemma-style Proto-Germanic headwords of the _\*hurna-_ / _\*xurnan_ type for this noun [@Kroonen2013; @Orel2003, 234]. The selected input _\*xúrną_ is the nominative-style form used in the derivation here. Clark Hall, Bosworth-Toller, and Bright all record _horn_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]. From _\*xúrną_, Northwest Germanic u-lowering gives _\*xórną_, and later loss of the final nasal leaves _horn_.	regular book-prose overlay	179	Clark Hall headword horn verified in local page-marked OCR.	locator_added		yes	tightened
horn — OE horn	A	BrightCassidyRingler1971	[@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]	Kroonen and Orel cite lemma-style Proto-Germanic headwords of the _\*hurna-_ / _\*xurnan_ type for this noun [@Kroonen2013; @Orel2003, 234]. The selected input _\*xúrną_ is the nominative-style form used in the derivation here. Clark Hall, Bosworth-Toller, and Bright all record _horn_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898, 108; @BrightCassidyRingler1971]. From _\*xúrną_, Northwest Germanic u-lowering gives _\*xórną_, and later loss of the final nasal leaves _horn_.	regular book-prose overlay	400	Bright glossary headword horn verified in local page-marked OCR.	locator_added		yes	tightened
horn — OE horn	A	Kroonen2013	[@Kroonen2013; @Orel2003, 234]	Form note. The note's oblique _\*xurnăn_ belongs to comparative stem background only. It does not replace the selected input _\*xúrną_ as the derivational form used here [@Kroonen2013; @Orel2003, 234].	regular book-prose overlay	299	Kroonen headword *hurna- verified in local page-marked OCR.	locator_added		yes	tightened
lead — OE lǣdan	G	RingeTaylor2014	[@RingeTaylor2014; @Kroonen2013, 363]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
lead — OE lǣdan	A	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay	194	Clark Hall headword lædan verified in local page-marked OCR.	locator_added		yes	tightened
lead — OE lǣdan	G	BosworthToller1898	[@ClarkHall1960; @BosworthToller1898]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
lead — OE lǣdan	G	RingeTaylor2014	[@RingeTaylor2014]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
lid — OE hlid	B	Orel2003	[@Orel2003; @Lloyd1966]	Orel cites a neuter lexeme of the _\*xliđ-_ type with Old English _hlid_, and Lloyd includes OE _hlid_ beside ON _hliþó_ and OHG _(h)lit_ among forms that retain _i_ [@Orel2003; @Lloyd1966]. Clark Hall and Bosworth-Toller record _hlid_ as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898, 563]. The selected input already represents the later Germanic _hliđ-_ stage used for the derivation here.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
lid — OE hlid	G	Lloyd1966	[@Orel2003; @Lloyd1966]	Orel cites a neuter lexeme of the _\*xliđ-_ type with Old English _hlid_, and Lloyd includes OE _hlid_ beside ON _hliþó_ and OHG _(h)lit_ among forms that retain _i_ [@Orel2003; @Lloyd1966]. Clark Hall and Bosworth-Toller record _hlid_ as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898, 563]. The selected input already represents the later Germanic _hliđ-_ stage used for the derivation here.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
lid — OE hlid	A	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 563]	Orel cites a neuter lexeme of the _\*xliđ-_ type with Old English _hlid_, and Lloyd includes OE _hlid_ beside ON _hliþó_ and OHG _(h)lit_ among forms that retain _i_ [@Orel2003; @Lloyd1966]. Clark Hall and Bosworth-Toller record _hlid_ as the noun 'lid, cover, door, gate' [@ClarkHall1960; @BosworthToller1898, 563]. The selected input already represents the later Germanic _hliđ-_ stage used for the derivation here.	regular book-prose overlay	175	Clark Hall headword hlid verified in local page-marked OCR.	locator_added		yes	tightened
lid — OE hlid	B	Orel2003	[@Orel2003; @Lloyd1966]	Form note. An earlier etymological stage _\*liþuz_ belongs to comparative background only. The form represented here is the later _\*xlídą_ > hlid line that matches the attested Old English noun [@Orel2003; @Lloyd1966].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
lid — OE hlid	G	Lloyd1966	[@Orel2003; @Lloyd1966]	Form note. An earlier etymological stage _\*liþuz_ belongs to comparative background only. The form represented here is the later _\*xlídą_ > hlid line that matches the attested Old English noun [@Orel2003; @Lloyd1966].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
light — OE līehtan	G	BosworthToller1898	[@ClarkHall1960, 204; @BosworthToller1898]	Fulk gives Proto-Germanic _\*liuxtijanan_ with Old English _līehtan_ 'illuminate', and Ringe and Taylor likewise derive West Saxon _liehtan_ from the same weak-verb formation [@Fulk2018, 81; @RingeTaylor2014, 264]. Clark Hall and Bosworth-Toller preserve the verb family under spellings such as _liehtan_, _lihtan_, and _līhtan_, distinct from the related noun _lēoht_ and adjective _leoht/liht_ [@ClarkHall1960, 204; @BosworthToller1898]. From _\*léuxtijaną_, the regular verbal line preserves _\*xt_, passes through a West Saxon _liehtan_ stage, and is represented here by normalized _līehtan_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
light — OE līehtan	G	Campbell1959	[@RingeTaylor2014, 264; @Campbell1959]	Dialect note. Ringe and Taylor and Campbell distinguish West Saxon _liehtan_ from Anglian _lihtan_, while later West Saxon also shows _lyhtan_ [@RingeTaylor2014, 264; @Campbell1959].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
milk — OE meoloc	G	Campbell1959	[@Campbell1959; @RingeTaylor2014, 268]	Comparison note. Syncopated _meolc_ and Anglian _milc_ belong to the competing leveled tradition associated with oblique forms, whereas _meoloc / meoluc_ preserves the fuller nominal shape [@Campbell1959; @RingeTaylor2014, 268].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
net — OE nett	B	Orel2003	[@Orel2003; @Fulk2018]	Orel gives _\*natjan_ with Old English _nett_, and Fulk's account of West Germanic gemination before _j_ explains the geminate outcome after a short vowel [@Orel2003; @Fulk2018]. Clark Hall and Bosworth-Toller record _nett_ as the noun, and Campbell notes that final geminates are often graphically simplified in Old English spelling [@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]. From _\*nátją_, West Germanic j-gemination first gives _\*náttją_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
net — OE nett	G	Fulk2018	[@Orel2003; @Fulk2018]	Orel gives _\*natjan_ with Old English _nett_, and Fulk's account of West Germanic gemination before _j_ explains the geminate outcome after a short vowel [@Orel2003; @Fulk2018]. Clark Hall and Bosworth-Toller record _nett_ as the noun, and Campbell notes that final geminates are often graphically simplified in Old English spelling [@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]. From _\*nátją_, West Germanic j-gemination first gives _\*náttją_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
net — OE nett	B	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]	Orel gives _\*natjan_ with Old English _nett_, and Fulk's account of West Germanic gemination before _j_ explains the geminate outcome after a short vowel [@Orel2003; @Fulk2018]. Clark Hall and Bosworth-Toller record _nett_ as the noun, and Campbell notes that final geminates are often graphically simplified in Old English spelling [@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]. From _\*nátją_, West Germanic j-gemination first gives _\*náttją_.	regular book-prose overlay	023	Exact OE headword sweep in local page-marked OCR found nett on p. 023.	leave broad	page found but claim not isolated	no	left_broad
net — OE nett	G	Campbell1959	[@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]	Orel gives _\*natjan_ with Old English _nett_, and Fulk's account of West Germanic gemination before _j_ explains the geminate outcome after a short vowel [@Orel2003; @Fulk2018]. Clark Hall and Bosworth-Toller record _nett_ as the noun, and Campbell notes that final geminates are often graphically simplified in Old English spelling [@ClarkHall1960; @BosworthToller1898, 29; @Campbell1959]. From _\*nátją_, West Germanic j-gemination first gives _\*náttją_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
net — OE nett	G	Campbell1959	[@Campbell1959; @Orel2003]	Form note. Spellings in _net_ can therefore be graphic simplifications, but the lexical target supported by the dictionary evidence is _nett_ [@Campbell1959; @Orel2003].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
net — OE nett	B	Orel2003	[@Campbell1959; @Orel2003]	Form note. Spellings in _net_ can therefore be graphic simplifications, but the lexical target supported by the dictionary evidence is _nett_ [@Campbell1959; @Orel2003].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
nightmare — OE mare	G	RingeTaylor2014	[@RingeTaylor2014; @Orel2003]	Ringe and Taylor treat the lexeme as Proto-Germanic / Proto-Northwest-Germanic _\*marōn-_, with Old English _mare, maran_, and variant _mere_; Orel preserves the same comparative lemma though with a different Old English headword tradition [@RingeTaylor2014; @Orel2003]. Clark Hall records _mare_ 'nightmare, monster' and also preserves related variant forms _mera / mere_ [@ClarkHall1960, 213]. The selected simplex input _\*márōn_ regularly gives _mare_ after brightening, A-restoration before the n-stem ending, and later reduction of the final vowel.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
nightmare — OE mare	B	Orel2003	[@RingeTaylor2014; @Orel2003]	Ringe and Taylor treat the lexeme as Proto-Germanic / Proto-Northwest-Germanic _\*marōn-_, with Old English _mare, maran_, and variant _mere_; Orel preserves the same comparative lemma though with a different Old English headword tradition [@RingeTaylor2014; @Orel2003]. Clark Hall records _mare_ 'nightmare, monster' and also preserves related variant forms _mera / mere_ [@ClarkHall1960, 213]. The selected simplex input _\*márōn_ regularly gives _mare_ after brightening, A-restoration before the n-stem ending, and later reduction of the final vowel.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
nightmare — OE mare	G	RingeTaylor2014	[@RingeTaylor2014; @ClarkHall1960, 213]	Form note. The concept corresponds to an unattested compound _\*nihtmare_, but the Old English lexical evidence is for simplex _mare_, with oblique _maran_ and variant _mere / mera_ [@RingeTaylor2014; @ClarkHall1960, 213].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
coat — OE rocc	A	Orel2003	[@Orel2003; @Kroonen2013, 290]	Orel cites a masculine _\*rukkaz_ for the garment word, while Kroonen gives _\*hrukka-_. Both treat this as the garment lexeme and not as the separate stone word [@Orel2003; @Kroonen2013, 290]. Clark Hall and Bosworth-Toller record _rocc_ as an over-garment or tunic and preserve compounds such as _bisceoprocc_ and _breóstrocc_ [@ClarkHall1960; @BosworthToller1898]. With _\*rúkkaz_ as the selected input, Northwest Germanic u-lowering and later loss of final _-a_ yield _rocc_ as a regular outcome.	regular book-prose overlay	347	Orel headword *rukkaz verified in local page-marked OCR.	locator_added		yes	tightened
coat — OE rocc	A	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898]	Orel cites a masculine _\*rukkaz_ for the garment word, while Kroonen gives _\*hrukka-_. Both treat this as the garment lexeme and not as the separate stone word [@Orel2003; @Kroonen2013, 290]. Clark Hall and Bosworth-Toller record _rocc_ as an over-garment or tunic and preserve compounds such as _bisceoprocc_ and _breóstrocc_ [@ClarkHall1960; @BosworthToller1898]. With _\*rúkkaz_ as the selected input, Northwest Germanic u-lowering and later loss of final _-a_ yield _rocc_ as a regular outcome.	regular book-prose overlay	259	Clark Hall headword rocc verified in local page-marked OCR.	locator_added		yes	tightened
coat — OE rocc	G	BosworthToller1898	[@ClarkHall1960; @BosworthToller1898]	Orel cites a masculine _\*rukkaz_ for the garment word, while Kroonen gives _\*hrukka-_. Both treat this as the garment lexeme and not as the separate stone word [@Orel2003; @Kroonen2013, 290]. Clark Hall and Bosworth-Toller record _rocc_ as an over-garment or tunic and preserve compounds such as _bisceoprocc_ and _breóstrocc_ [@ClarkHall1960; @BosworthToller1898]. With _\*rúkkaz_ as the selected input, Northwest Germanic u-lowering and later loss of final _-a_ yield _rocc_ as a regular outcome.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
coat — OE rocc	A	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898]	Source note. This entry concerns the garment noun only. The stone word seen in _stānrocc_ belongs to a different lexical history [@ClarkHall1960; @BosworthToller1898].	regular book-prose overlay	259	Clark Hall headword rocc verified in local page-marked OCR.	locator_added		yes	tightened
coat — OE rocc	G	BosworthToller1898	[@ClarkHall1960; @BosworthToller1898]	Source note. This entry concerns the garment noun only. The stone word seen in _stānrocc_ belongs to a different lexical history [@ClarkHall1960; @BosworthToller1898].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
sheep — OE sċēap	G	RingeTaylor2014	[@RingeTaylor2014; @Orel2003]	Ringe and Taylor cite a later West Germanic _\*skap_ > WS _scéap_, while Orel preserves a Proto-Germanic noun of the _\*skēp-_ type for the same lexeme [@RingeTaylor2014; @Orel2003]. Clark Hall records _scēap_ with spelling variation, and Campbell likewise lists West Saxon _scéap_ among the palatal-diphthongized forms [@ClarkHall1960; @Campbell1959]. From _\*skḗpą_, Northwest Germanic lowering gives _\*skǣpą_; after apocope and palatalization the West Saxon branch diphthongizes to _sċēap_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
sheep — OE sċēap	B	Orel2003	[@RingeTaylor2014; @Orel2003]	Ringe and Taylor cite a later West Germanic _\*skap_ > WS _scéap_, while Orel preserves a Proto-Germanic noun of the _\*skēp-_ type for the same lexeme [@RingeTaylor2014; @Orel2003]. Clark Hall records _scēap_ with spelling variation, and Campbell likewise lists West Saxon _scéap_ among the palatal-diphthongized forms [@ClarkHall1960; @Campbell1959]. From _\*skḗpą_, Northwest Germanic lowering gives _\*skǣpą_; after apocope and palatalization the West Saxon branch diphthongizes to _sċēap_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
sheep — OE sċēap	A	ClarkHall1960	[@ClarkHall1960; @Campbell1959]	Ringe and Taylor cite a later West Germanic _\*skap_ > WS _scéap_, while Orel preserves a Proto-Germanic noun of the _\*skēp-_ type for the same lexeme [@RingeTaylor2014; @Orel2003]. Clark Hall records _scēap_ with spelling variation, and Campbell likewise lists West Saxon _scéap_ among the palatal-diphthongized forms [@ClarkHall1960; @Campbell1959]. From _\*skḗpą_, Northwest Germanic lowering gives _\*skǣpą_; after apocope and palatalization the West Saxon branch diphthongizes to _sċēap_.	regular book-prose overlay	266	Clark Hall headword scēap verified in local page-marked OCR.	locator_added		yes	tightened
sheep — OE sċēap	G	Campbell1959	[@ClarkHall1960; @Campbell1959]	Ringe and Taylor cite a later West Germanic _\*skap_ > WS _scéap_, while Orel preserves a Proto-Germanic noun of the _\*skēp-_ type for the same lexeme [@RingeTaylor2014; @Orel2003]. Clark Hall records _scēap_ with spelling variation, and Campbell likewise lists West Saxon _scéap_ among the palatal-diphthongized forms [@ClarkHall1960; @Campbell1959]. From _\*skḗpą_, Northwest Germanic lowering gives _\*skǣpą_; after apocope and palatalization the West Saxon branch diphthongizes to _sċēap_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
sheep — OE sċēap	G	RingeTaylor2014	[@RingeTaylor2014; @Campbell1959]	Dialect note. Ringe and Taylor contrast West Saxon _scéap_ with Mercian and Kentish _scép_, and Campbell also notes Northumbrian _scip_. The form represented here is the West Saxon headword [@RingeTaylor2014; @Campbell1959].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
sheep — OE sċēap	G	Campbell1959	[@RingeTaylor2014; @Campbell1959]	Dialect note. Ringe and Taylor contrast West Saxon _scéap_ with Mercian and Kentish _scép_, and Campbell also notes Northumbrian _scip_. The form represented here is the West Saxon headword [@RingeTaylor2014; @Campbell1959].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
shilling — OE sċilling	B	Kroonen2013	[@Kroonen2013; @Orel2003, 377]	Kroonen treats the cognate set under _\*skellinga-_ ~ _\*skillinga-_ and connects it with _\*skeld-linga-_, while Orel likewise gives the coin word with OE _scilling_ among the reflexes [@Kroonen2013; @Orel2003, 377]. The selected input _\*skíllingaz_ is the nominative-style form used here to represent that inherited _\*-ing-_ derivative. Clark Hall records _scilling_, and Campbell cites _scilling_ among nouns whose derivational _-ing_ keeps _i_ in unstressed syllables [@ClarkHall1960, 269; @Campbell1959]. From _\*skíllingaz_, loss of final _-az_ yields _\*skílling_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
shilling — OE sċilling	G	Campbell1959	[@ClarkHall1960, 269; @Campbell1959]	Kroonen treats the cognate set under _\*skellinga-_ ~ _\*skillinga-_ and connects it with _\*skeld-linga-_, while Orel likewise gives the coin word with OE _scilling_ among the reflexes [@Kroonen2013; @Orel2003, 377]. The selected input _\*skíllingaz_ is the nominative-style form used here to represent that inherited _\*-ing-_ derivative. Clark Hall records _scilling_, and Campbell cites _scilling_ among nouns whose derivational _-ing_ keeps _i_ in unstressed syllables [@ClarkHall1960, 269; @Campbell1959]. From _\*skíllingaz_, loss of final _-az_ yields _\*skílling_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
shilling — OE sċilling	B	Kroonen2013	[@Kroonen2013]	Form note. Kroonen's _\*skellinga-_ ~ _\*skillinga-_ and his internal analysis _\*skeld-linga-_ belong to the etymological background of the cognate set. The selected input _\*skíllingaz_ is the specific form used for the derivation represented here [@Kroonen2013].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
sleep — OE slǣpan	B	Kroonen2013	[@Kroonen2013; @Fulk2018, 120]	Kroonen preserves the comparative verb as _\*slēpan-_, and Fulk cites the same family under root _\*slēb-_ [@Kroonen2013; @Fulk2018, 120]. The selected input _\*slḗpaną_ is the infinitive-style form used here for that inherited sleep-verb. Clark Hall gives _slæpan_ with preterite _slēp_, _slēap_, and Bright likewise lists _slæpan_ _(slāpan)_, _slēp_ _slēpon_ _slēpen_ [@ClarkHall1960; @BrightCassidyRingler1971, 435]. From _\*slḗpaną_, Northwest Germanic lowering gives _\*slǣpaną_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
sleep — OE slǣpan	A	ClarkHall1960	[@ClarkHall1960; @BrightCassidyRingler1971, 435]	Kroonen preserves the comparative verb as _\*slēpan-_, and Fulk cites the same family under root _\*slēb-_ [@Kroonen2013; @Fulk2018, 120]. The selected input _\*slḗpaną_ is the infinitive-style form used here for that inherited sleep-verb. Clark Hall gives _slæpan_ with preterite _slēp_, _slēap_, and Bright likewise lists _slæpan_ _(slāpan)_, _slēp_ _slēpon_ _slēpen_ [@ClarkHall1960; @BrightCassidyRingler1971, 435]. From _\*slḗpaną_, Northwest Germanic lowering gives _\*slǣpaną_.	regular book-prose overlay	281	Clark Hall headword slæpan verified in local page-marked OCR.	locator_added		yes	tightened
sleep — OE slǣpan	A	ClarkHall1960	[@ClarkHall1960; @BrightCassidyRingler1971, 435]	Form note. The note concerns lemma type rather than a special derivational problem: this row represents the verb _slǣpan_, whereas _slǣp_ belongs to noun or lookup background and _slēp_/_slēap_ are preterite forms [@ClarkHall1960; @BrightCassidyRingler1971, 435].	regular book-prose overlay	281	Clark Hall headword slæpan verified in local page-marked OCR.	locator_added		yes	tightened
smear — OE smierwan	B	Kroonen2013	[@Kroonen2013]	Kroonen gives the comparative headword as _\*smerwjan-_ [@Kroonen2013]. Ringe and Taylor instead cite a later-stage _\*smirwijana_, from which they derive West Saxon _smierwan_, Mercian _smirwan_, and Northumbrian _smiriga_ [@RingeTaylor2014]. The selected form is the West Saxon citation form _smierwan_. From _\*smérwijaną_, breaking before _r + consonant_ yields _eo_, and later i-umlaut produces _ie_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
smear — OE smierwan	G	RingeTaylor2014	[@RingeTaylor2014]	Kroonen gives the comparative headword as _\*smerwjan-_ [@Kroonen2013]. Ringe and Taylor instead cite a later-stage _\*smirwijana_, from which they derive West Saxon _smierwan_, Mercian _smirwan_, and Northumbrian _smiriga_ [@RingeTaylor2014]. The selected form is the West Saxon citation form _smierwan_. From _\*smérwijaną_, breaking before _r + consonant_ yields _eo_, and later i-umlaut produces _ie_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
smear — OE smierwan	G	RingeTaylor2014	[@RingeTaylor2014; @ClarkHall1960]	Dialect note. The entry therefore represents the West Saxon member of a broader OE family: _smierwan_ in West Saxon, _smirwan_ in Anglian or Mercian, and related later class-II forms such as _smirian_ or _smyrian_ in the same lexical field [@RingeTaylor2014; @ClarkHall1960].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
smear — OE smierwan	A	ClarkHall1960	[@RingeTaylor2014; @ClarkHall1960]	Dialect note. The entry therefore represents the West Saxon member of a broader OE family: _smierwan_ in West Saxon, _smirwan_ in Anglian or Mercian, and related later class-II forms such as _smirian_ or _smyrian_ in the same lexical field [@RingeTaylor2014; @ClarkHall1960].	regular book-prose overlay	283	Clark Hall headword smierwan verified in local page-marked OCR.	locator_added		yes	tightened
span — OE spannan	A	Kroonen2013	[@Kroonen2013]	Kroonen cites the inherited verb as _\*spannan-_, with OE _spannan_ among the reflexes [@Kroonen2013]. The selected input _\*spánnaną_ is the infinitive-style form used here for that same verbal lexeme. Clark Hall keeps noun _spann_ and verb _spannan_ separate, and Brunner likewise records _sponnan, spannan stv._ [@ClarkHall1960; @SieversBrunner1965]. From _\*spánnaną_, the final nasal ending is lost and the regular OE weak-tail steps surface _spannan_.	regular book-prose overlay	505	Kroonen headword *spannan- verified in local page-marked OCR.	locator_added		yes	tightened
span — OE spannan	A	ClarkHall1960	[@ClarkHall1960; @SieversBrunner1965]	Kroonen cites the inherited verb as _\*spannan-_, with OE _spannan_ among the reflexes [@Kroonen2013]. The selected input _\*spánnaną_ is the infinitive-style form used here for that same verbal lexeme. Clark Hall keeps noun _spann_ and verb _spannan_ separate, and Brunner likewise records _sponnan, spannan stv._ [@ClarkHall1960; @SieversBrunner1965]. From _\*spánnaną_, the final nasal ending is lost and the regular OE weak-tail steps surface _spannan_.	regular book-prose overlay	286	Clark Hall headword spannan verified in local page-marked OCR.	locator_added		yes	tightened
span — OE spannan	G	SieversBrunner1965	[@ClarkHall1960; @SieversBrunner1965]	Kroonen cites the inherited verb as _\*spannan-_, with OE _spannan_ among the reflexes [@Kroonen2013]. The selected input _\*spánnaną_ is the infinitive-style form used here for that same verbal lexeme. Clark Hall keeps noun _spann_ and verb _spannan_ separate, and Brunner likewise records _sponnan, spannan stv._ [@ClarkHall1960; @SieversBrunner1965]. From _\*spánnaną_, the final nasal ending is lost and the regular OE weak-tail steps surface _spannan_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
span — OE spannan	A	ClarkHall1960	[@ClarkHall1960]	Form note. English _span_ can also reach noun _spann_ in local lookup material. The entry represented here is the verb _spannan_, with the noun treated elsewhere [@ClarkHall1960].	regular book-prose overlay	286	Clark Hall headword spannan verified in local page-marked OCR.	locator_added		yes	tightened
spar — OE spearra	A	Kroonen2013	[@Kroonen2013; @Orel2003]	Kroonen and Orel place this noun in the beam or rafter set _\*spar(r)an-_, with cognates such as Old Saxon and Old High German _sparro_ [@Kroonen2013; @Orel2003]. The selected input _\*spárrô_ is the OE-facing nominal form used here for that same lexeme. The noun represented here is _spearra_. From _\*spárrô_, Anglo-Frisian brightening gives _\*spærrô_, and OE breaking before geminate _rr_ yields _\*spearrô_, later _spearra_.	regular book-prose overlay	506	Kroonen *sparran- entry verified in local page-marked OCR.	locator_added		yes	tightened
spar — OE spearra	B	Orel2003	[@Kroonen2013; @Orel2003]	Kroonen and Orel place this noun in the beam or rafter set _\*spar(r)an-_, with cognates such as Old Saxon and Old High German _sparro_ [@Kroonen2013; @Orel2003]. The selected input _\*spárrô_ is the OE-facing nominal form used here for that same lexeme. The noun represented here is _spearra_. From _\*spárrô_, Anglo-Frisian brightening gives _\*spærrô_, and OE breaking before geminate _rr_ yields _\*spearrô_, later _spearra_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
