# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv + germanic.txt + rule_coverage_census
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# current_order is the ARCHIVAL inventory order (registry inventory_order),
# not the executable cascade position; executable positions come from
# oe_pipeline / cascade_order_manifest.tsv.
change_id	current_order	display_name	stage	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	entry_type	include_in_volume	historical_stage	pipeline_stage	canonical_change_id	duplicate_group	is_reader_facing	review_note	needs_human_review
SC039	39	OE WI Combinative U Umlaut	Old English	Old English	Germanic/fsts/germanic.txt	define OEWICombinativeUUmlaut	define OEWICombinativeUUmlaut [ {*í} -> {*ú} || .#. {*w} _ EnglishStarConsonant [{*u} | {*o}] ];	OE WI Combinative U Umlaut	yes	1	widow		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC039		yes		no
SC040	40	OE Med Unstressed U Lowering	Old English	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedULowering	define OEMedUnstressedULowering [ {*u} -> {*o} || [EnglishStarVocalic - [{*u}|{*ū}|{*ú}]] [EnglishStarConsonant | EnglishPalatalConsonant]+ _ [[EnglishStarConsonant | EnglishPalatalConsonant] - {*m}] ];	OE Med Unstressed U Lowering	yes	11	hawk, head, heaven, milk, navel, nine, rainbow, seven, soul, ten, world		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC040		yes		no
SC041	41	PWGmc Final Bare A Loss	Old English	Old English	Germanic/fsts/germanic.txt	define PWGmcFinalBareALoss	define PWGmcFinalBareALoss [ {*a} -> 0 || _ .#. ];	PWGmc Final Bare A Loss	yes	67	beard, bosom, bottom, calf, comb, craft, crop, dale, day, dough, dream, eel, fern, finger, fish, fox, fright, gang, ghost, harm, hawk, hazel, hearth, hedge, helm, home, hood, hoof, hound, knight, leek, loath, lock, malt, mast, mood, nail, one, oven, raven, reek, coat, rudder, seam, shilling, snow, staff, stock, stone, stool, stork, storm, stream, summer, team, thane, thanks, thief, thorn, thunder, wain, wasp, way, whale, buck, fowl, wolf		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Old English	SC041		yes	PWGmc-labeled loss is implemented late in the OE pipeline; dossier work should explain the historical vs computational placement.	yes
SC042	42	PWGmc Surviving Bimoric O Unrounding	Old English	Old English	Germanic/fsts/germanic.txt	define PWGmcSurvivingBimoricOUnrounding	define PWGmcSurvivingBimoricOUnrounding [ {*ō} -> {*ā} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#. ];	PWGmc Surviving Bimoric O Unrounding	yes	1	rest		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Old English	SC042		yes	PWGmc-labeled unrounding is implemented late in the OE pipeline; keep the sandbox order but flag the chronology mismatch.	yes
SC043	43	Anglo Frisian Brightening	Old English	Old English	Germanic/fsts/germanic.txt	define EAFBrightening	define EAFBrightening [ EAFBrighteningUnstressed .o. EAFBrighteningStressed .o. EAFBrighteningLongFinal ];	Anglo Frisian Brightening	yes	90	bake, ban, bast, bath, beard, belly, berry, brand, calf, craft, dale, day, fall, fare, fast, father, fern, flask, flax, fold, four, gall, grass, grave, guest, hail, hall, hammer, harm, harvest, have, haw, hawk, hazel, hedge, hold, honey, lade, lap, laugh, make, malt, man, march, mast, might, nail, nave, navel, net, nettle, night, nightmare, raven, rest, sake, salt, salve, sap, set, shaft, slay, spar, spare, staff, stem, stretch, summer, swallow, swan, thatch, thistle, wade, wain, wake, warp, wart, wash, wasp, water, wax, whale, wield, withy, wold, yarn, make (iptv.2sg), make (3sg), tap		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC043		yes	The current taxonomy has no separate Anglo-Frisian bucket, so this rule is provisionally filed under Old English for book planning.	yes
SC044	44	OE Breaking	Old English	Old English	Germanic/fsts/germanic.txt	define OEBreaking	define OEBreaking OEBreakingA .o. OEBreakingE .o. OEBreakingI;	OE Breaking	yes	48	barrow, beard, belly, calf, earth, fall, fee, fern, fight, flax, fold, gall, hall, harm, harvest, heart, hearth, herd, hold, knight, laugh, learn, malt, march, meed, might, night, salt, salve, six, slay, smear, spar, starve, swallow, sword, ten, warp, wart, wax, wield, wight, wold, yarn, learn (iptv.2sg), learn (3sg)		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC044		yes		no
SC045	45	OE Velar Fricative Palatalization	Old English	Old English	Germanic/fsts/germanic.txt	define OEVelarFricativePalatalization	define OEVelarFricativePalatalization [ {*x} -> {*ç} || _ EnglishStarFrontVowel, {*ɣ} -> {*j} || _ EnglishStarFrontVowel, {*x} -> {*ç} || EnglishStarFrontVowel _, {*ɣ} -> {*j} || EnglishStarFrontVowel _, {*x} -> {*ç} || _ {*j}, {*ɣ} -> {*j} || _ {*j} ] .o. EnglishStarAlphabet*;	OE Velar Fricative Palatalization	yes	23	hail, hair, hall, harm, harvest, have, haw, hawk, hay, hazel, head, heart, hearth, heaven, hedge, helm, help, herd, hew, hind, hold, laugh		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC045		yes		no
SC046	46	OE A Restoration	Old English	Old English	Germanic/fsts/germanic.txt	define OEARestoration	define OEARestoration ( {*æ} -> {*a} || _ OEARestorationIntervening OEARestorationTriggerVowel - OEARestorationIntervening OEARestorationWeakTailVowel );	OE A Restoration	yes	20	bake, fare, flask, grave, haw, hawk, lade, lap, make, nave, navel, nightmare, sake, spare, wade, wake, wash, make (iptv.2sg), make (3sg), tap		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC046		yes		no
SC047	47	OE Heavy Syllable Nasal Apocope	Old English	Old English	Germanic/fsts/germanic.txt	define OEHeavySyllableNasalApocope	define OEHeavySyllableNasalApocope [ {*ą} -> 0 || OEAnyConsonant _ .#. ];	OE Heavy Syllable Nasal Apocope	yes	160	bake, barrow, bast, bath, begin, believe, bind, blood, board, bone, bore, bow, bower, bread, break, breast, bring, brook, burst, chew, climb, corn, deer, do, door, drink, drive, eat, fall, fare, fast, fell, fight, flax, flee, fly, fodder, fold, folk, follow, forlorn, freeze, frost, give, god, gold, grass, grave, gripe, hail, hair, handle, hay, head, heal, help, hew, hoard, hold, honey, horn, knead, knee, lade, land, last, laugh, lead, leaf, learn, leather, let, lick, lid, life, light, lime, loam, lock, make, meal, mean, nest, net, rain, read, ride, room, rope, run, sail, salt, sap, seek, send, set, shaft, shear, sheep, shine, show, sing, singe, sit, slay, sleep, slime, smear, span, spare, spin, spread, start, starve, steal, still, straw, stretch, strew, stud, sunder, sup, swell, swim, swine, sword, thatch, thing, think, thrash, timber, token, town, tread, trough, wade, wake, warp, wash, wax, weapon, weather, weave, wether, whine, wield, wife, will, wind, withy, wonder, word, wring, yarn, year, yoke, sow, betray		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC047		yes		no
SC048	48	OE Secondary Nasalization	Old English	Old English	Germanic/fsts/germanic.txt	define OESecondaryNasalization	define OESecondaryNasalization [ {*a} -> {*ą} || _ {*n} .#. ];	OE Secondary Nasalization	yes	89	bake, begin, believe, bind, bore, bow, break, bring, brook, burst, chew, climb, drink, drive, eat, fall, fare, fast, fight, flee, fly, fold, follow, forlorn, freeze, give, grave, gripe, handle, heal, help, hew, hold, knead, lade, last, laugh, lead, learn, let, lick, light, make, mean, read, ride, run, seek, send, set, shear, shine, show, sing, singe, sit, slay, sleep, smear, span, spare, spin, spread, start, starve, steal, still, stretch, strew, sunder, sup, swell, swim, think, thrash, tread, wade, wake, warp, wash, wax, weave, whine, wield, will, wind, wring, sow, betray		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC048		yes		no
SC049	49	PGmc B Allophony	Old English	Old English	Germanic/fsts/germanic.txt	define PGmcBAllophony	define PGmcBAllophony [ {*b} -> {*β} || PGmcStarVocalic _, {*b} -> {*β} || [{*l} | {*r}] _ ] .o. [ {*β} -> {*b} || _ {*b} ];	PGmc B Allophony	yes	28	beaver, believe, calf, drive, give, grave, harvest, have, hawk, head, heaven, leaf, life, live, liver, nave, navel, raven, salve, seven, shove, sieve, staff, starve, thief, wasp, weave, wife		not_started	not_started		historical_sound_change	yes	Proto-Germanic	Old English	SC049		yes	PGmc B Allophony is intentionally delayed in the live cascade, so the historical label and pipeline placement diverge.	yes
SC050	50	Sievers Law Syncope	Old English	Old English	Germanic/fsts/germanic.txt	define SieversLawSyncope	define SieversLawSyncope [ {*i} -> 0 || [EnglishStarConsonant | EnglishPalatalConsonant] _ {*j} ];	Sievers Law Syncope	yes	19	believe, bow, fast, follow, heal, last, lead, light, mean, seek, send, singe, smear, spread, start, still, stretch, think, betray		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Old English	SC050		yes	Sievers Law Syncope is provisionally grouped with Proto-West Germanic developments even though the sandbox checkpoints it in the Old English section.	yes
SC051	51	OE Sk Palatalization	Old English	Old English	Germanic/fsts/germanic.txt	define OESkPalatalization	define OESkPalatalization [ {*s} {*k} -> {*ʃ} || .#. _ ] .o. [ {*s} {*k} -> {*ʃ} || EnglishStarFrontVowel _ (EnglishStarConsonant | .#.) ] .o. [ {*s} {*k} -> {*ʃ} || (EnglishStarConsonant | .#.) _ EnglishStarFrontVowel ] .o. [ {*s} {*k} -> {*ʃ} || _ {*j} ] .o. [ {*s} {*k} -> {*ʃ} || {*j} _ ];	OE Sk Palatalization	yes	18	fish, flesh, shaft, shame, shear, sheath, sheep, shield, shilling, shine, shoulder, shove, shovel, show, shower, thrash, show (iptv.2sg), show (3sg)		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC051		yes		no
SC052	52	OE Velar Palatalization	Old English	Old English	Germanic/fsts/germanic.txt	define OEVelarPalatalization	define OEVelarPalatalization [ OEVelarPalatalizationKFront ] .o. [ {*g} -> {*ʤ} || _ EnglishStarFrontVowel, {*g} -> {*ʤ} || EnglishStarFrontVowel _ .#., {*g} -> {*ʤ} || EnglishStarFrontVowel _ EnglishStarFrontVowel, {*g} -> {*ʤ} || EnglishStarFrontVowel _ [EnglishStarConsonant - {*j}], {*g} {*g} -> {*ʤ} {*ʤ} || _ {*j} ] .o. [ {*g} -> {*ʤ} || _ {*j} ];	OE Velar Palatalization	yes	32	begin, believe, belly, bow, breeches, calf, chew, day, drench, follow, gall, gift, give, guest, hail, hedge, honey, nail, rain, rainbow, rye, sail, seek, singe, stretch, string, thane, think, wain, way, withy, yarn		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC052		yes		no
SC053	53	OE Post Velar W Loss	Old English	Old English	Germanic/fsts/germanic.txt	define OEPostVelarWLoss	define OEPostVelarWLoss [ {*w} -> 0 || {*n} {*g} _ ];	OE Post Velar W Loss	yes	1	sing		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC053		yes		no
SC054	54	OE W Loss Before I	Old English	Old English	Germanic/fsts/germanic.txt	define OEWLossBeforeI	define OEWLossBeforeI [ {*w} -> 0 || EnglishStarVocalic _ {*i} .#. ];	OE W Loss Before I	yes	1	sea		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC054		yes		no
SC055	55	OE I Umlaut	Old English	Old English	Germanic/fsts/germanic.txt	define OEIUmlaut	define OEIUmlaut OEIUmlautFronting .o. OEIUmlautRaising .o. OEIUmlautDiphthong;	OE I Umlaut	yes	67	believe, belly, berry, birth, bore, bow, breeches, bride, cow, deal, dill, drench, fast, fist, flesh, follow, fright, gift, guest, handle, harvest, hay, heal, heath, hedge, hind, last, laugh, lead, learn, lick, light, lung, make, mean, might, need, net, nettle, night, rye, sea, seek, send, set, sheath, show, singe, sit, smear, spare, spindle, spread, start, stem, still, stretch, strew, string, sunder, think, three, wight, will, worm, fire		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC055		yes		no
SC056	56	OE Ws Palatal Diphthongization	Old English	Old English	Germanic/fsts/germanic.txt	define OEWsPalatalDiphthongization	define OEWsPalatalDiphthongization [ {*æ} -> {*ea} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*ǣ} -> {*ēa} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*e} -> {*ie} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*ē} -> {*īe} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*é} -> {*íe} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.], {*ḗ} -> {*īe} || .#. [{*ʧ} | {*ʤ} | {*ʃ} | {*j}] _ [EnglishStarConsonant | EnglishPalatalConsonant | .#.] ];	OE Ws Palatal Diphthongization	yes	8	give, guest, shaft, shear, sheath, sheep, shield, year		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC056		yes		no
SC057	57	OE J Cluster Coalescence	Old English	Old English	Germanic/fsts/germanic.txt	define OEJClusterCoalescence	define OEJClusterCoalescence ( [{*g} {*j} -> {*ʤ}] .o. [{*k} {*j} -> {*ʧ}] );	OE J Cluster Coalescence	no	0			not_started	not_started		historical_sound_change	yes	Old English	Old English	SC057		yes		no
SC059	59	OE Back Mutation	Old English	Old English	Germanic/fsts/germanic.txt	define OEBackMutation	define OEBackMutation [ {*e} -> {*eo} || _ [EnglishStarLabial | EnglishStarLiquid] {*u}, {*æ} -> {*ea} || _ [EnglishStarLabial | EnglishStarLiquid] EnglishBackMutationTrigger, {*é} -> {*éo} || _ [EnglishStarLabial | EnglishStarLiquid] {*u} ];	OE Back Mutation	yes	5	heaven, milk, seven, spear, world		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC059		yes		no
SC060	60	OE Ws Palatal Umlaut	Old English	Old English	Germanic/fsts/germanic.txt	define OEWsPalatalUmlaut	define OEWsPalatalUmlaut [ {*eo} -> {*i} || _ OEHCluster .#., {*io} -> {*i} || _ OEHCluster .#., {*ie} -> {*i} || _ OEHCluster .#., {*eo} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*io} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*ie} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*éo} -> {*i} || _ OEHCluster .#., {*ío} -> {*i} || _ OEHCluster .#., {*íe} -> {*i} || _ OEHCluster .#., {*éo} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*ío} -> {*i} || _ OEHCluster EnglishStarFrontVowel, {*íe} -> {*i} || _ OEHCluster EnglishStarFrontVowel ];	OE Ws Palatal Umlaut	yes	5	knight, might, night, six, wight		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC060		yes		no
SC061	61	OE Weak Tail Nasal Loss	Old English	Old English	Germanic/fsts/germanic.txt	define OEWeakTailNasalLoss	define OEWeakTailNasalLoss [ {*n} {*ą} -> {*n} || _ .#., {*m} {*ą} -> {*m} || _ .#. ];	OE Weak Tail Nasal Loss	no	0			not_started	not_started		historical_sound_change	yes	Old English	Old English	SC061		yes		no
SC062	62	OE Weight Markers	Old English	Old English	Germanic/fsts/germanic.txt	define OEWeightMarkers	define OEWeightMarkers OEHeavyMarker;	OE Weight Markers	no	0			not_started	not_started		technical_marker	appendix	Technical	Old English	SC062		no	Identity marker stage used for weight-sensitive conditioning before apocope; appendix only.	no
SC063	63	OE High Vowel Apocope	Old English	Old English	Germanic/fsts/germanic.txt	define OEHighVowelApocope	define OEHighVowelApocope [ {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongVowel OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongVowel OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortDiphthong OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortDiphthong OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortDiphthong OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortDiphthong OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortVowel OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortVowel OEAnyConsonant EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*u} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*ų} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ EnglishStarShortVowel OEAnyConsonant+ _ .#., {*i} -> 0 || EnglishStarLongVowel _ .#., {*u} -> 0 || {*x} _ .#., {*ų} -> 0 || {*x} _ .#., {*i} -> 0 || {*x} _ .#. ];	OE High Vowel Apocope	yes	64	beaver, beech, belly, bier, birth, bough, breeches, bride, cow, deal, deed, dew, drench, fee, field, fist, flesh, flood, gift, ground, guest, hall, hand, harvest, heath, help, herd, hind, linden, liver, lung, lust, lye, march, might, need, needle, night, rind, rood, salve, sea, sheath, shield, shovel, shower, sorrow, soul, spindle, spoon, stem, string, thirst, tide, tongs, while, wight, winter, wold, world, worm, fire, rust, wool		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC063		yes		no
SC064	64	NWGmc In Stem N Loss	Old English	Old English	Germanic/fsts/germanic.txt	define NWGmcInStemNLoss	define NWGmcInStemNLoss [{*n} -> 0 || {*ī} _ .#.];	NWGmc In Stem N Loss	yes	1	fright		not_started	not_started		historical_sound_change	yes	Northwest Germanic	Old English	SC064		yes	NWGmc In Stem N Loss is applied after OEHighVowelApocope in the current cascade, so the historical label needs an explanatory note.	yes
SC065	65	OE Medial Syncope	Old English	Old English	Germanic/fsts/germanic.txt	define OEMedialSyncope	define OEMedialSyncope [ {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ [{*θ}|{*ð}|{*d}|{*t}], {*i} -> 0 || EnglishStarLongDiphthong OEAnyConsonant+ _ [{*θ}|{*ð}|{*d}|{*t}], {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant OEAnyConsonant+ _ [{*θ}|{*ð}|{*d}|{*t}] ];	OE Medial Syncope	no	0			not_started	not_started		historical_sound_change	yes	Old English	Old English	SC065		yes		no
SC066	66	OE L Adjacent Syncope	Old English	Old English	Germanic/fsts/germanic.txt	define OELAdjacentSyncope	define OELAdjacentSyncope [ {*i} -> 0 || EnglishStarShortVowel OEAnyConsonant+ _ {*l}, {*i} -> 0 || EnglishStarLongVowel OEAnyConsonant+ _ {*l}, {*i} -> 0 || EnglishStarDiphthong OEAnyConsonant+ _ {*l} ];	OE L Adjacent Syncope	yes	3	nettle, spindle, thistle		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC066		yes		no
SC067	67	OE Dental Assimilation	Old English	Old English	Germanic/fsts/germanic.txt	define OEDentalAssimilation	define OEDentalAssimilation [ {*θ} -> 0 || {*t} _ ];	OE Dental Assimilation	no	0			not_started	not_started		historical_sound_change	yes	Old English	Old English	SC067		yes		no
SC068	68	OE Preconsonantal Degemination	Old English	Old English	Germanic/fsts/germanic.txt	define OEPreconsonantalDegemination	define OEPreconsonantalDegemination OEPreconsonantalDegemTT .o. OEPreconsonantalDegemNN;	OE Preconsonantal Degemination	yes	2	bottom, spindle		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC068		yes		no
SC069	69	OE Early O Shortening	Old English	Old English	Germanic/fsts/germanic.txt	define OEEarlyOShortening	define OEEarlyOShortening [ {*ō} -> {*a} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ EnglishStarNasal ];	OE Early O Shortening	no	0			not_started	not_started		historical_sound_change	yes	Old English	Old English	SC069		yes		no
SC070	67	OE Unstressed Fronting Early	Old English	Old English	Germanic/fsts/germanic.txt	define OEUnstressedFrontingEarly	define OEUnstressedFrontingEarly OEUnstressedAFronting;	OE Unstressed Fronting Early	yes	2	find, west		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC070		yes		no
SC071	68	OE Late O Shortening	Old English	Old English	Germanic/fsts/germanic.txt	define OELateOShortening	define OELateOShortening [ {*ō} -> {*o} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ [EnglishStarConsonant | EnglishPalatalConsonant]* ];	OE Late O Shortening	yes	7	month, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg), wound		not_started	not_started	Shortens unstressed *ō to *o, whose medial/final outcomes are SC099/SC100; see Stausland Johnsen 2015 pp.28-31 and sc021-adjudication.md.	historical_sound_change	yes	Old English	Old English	SC071		yes		no
SC072	72	OE Unstressed Long Vowel Shortening	Old English	Old English	Germanic/fsts/germanic.txt	define OEUnstressedLongVowelShortening	define OEUnstressedLongVowelShortening OEUnstressedLongVowelShortening1 .o. OEUnstressedLongVowelShortening2 .o. OEUnstressedLongVowelShortening3 .o. OEUnstressedLongVowelShortening5 .o. OEUnstressedLongVowelShortening6 .o. OEUnstressedLongVowelShortening7 .o. OEUnstressedLongVowelShortening8;	OE Unstressed Long Vowel Shortening	yes	59	adder, bore, bow, earth, father, find, flask, foal, fright, gall, handle, have, haw, heart, knob, lap, learn, lick, line, list, live, make, meed, mother, name, navel, neck, nettle, nightmare, ox, rainbow, rest, show, side, sister, span, spar, spare, spur, sun, sunder, swallow, tick, toe, tongue, wart, weasel, west, whore, widow, will, youth, make (iptv.2sg), bore (iptv.2sg), learn (iptv.2sg), lick (iptv.2sg), show (iptv.2sg), wound, tap		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC072		yes		no
SC073	73	OE Unstressed AE Merger	Old English	Old English	Germanic/fsts/germanic.txt	define OEUnstressedAEMerger	define OEUnstressedAEMerger OEWeakTailReduction3;	OE Unstressed AE Merger	yes	32	adder, ban, berry, brand, earth, find, flask, four, hammer, heart, honey, line, list, man, nettle, nightmare, rest, side, summer, sun, swallow, swan, thistle, toe, tongue, wart, water, weasel, west, whore, widow, withy		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC073		yes		no
SC074	74	OE Med Unstressed I Lowering1	Old English	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedILowering1	define OEMedUnstressedILowering1 [ {*i} -> {*e} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ ];	OE Med Unstressed I Lowering1	yes	6	dill, fright, harvest, rye, shilling, sieve		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC074		yes		no
SC075	75	OE Med Unstressed I Lowering	Old English	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedILowering	define OEMedUnstressedILowering [ {*e} -> {*i} || _ {*n} {*g} ];	OE Med Unstressed I Lowering	yes	1	shilling		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC075		yes		no
SC076	76	OE Prefix I Reduction	Old English	Old English	Germanic/fsts/germanic.txt	define OEPrefixIReduction	define OEPrefixIReduction [ {*i} -> {*ĕ} || .#. [{*b} | {*n}] _ [EnglishStarConsonant | EnglishPalatalConsonant] EnglishStarVocalic ];	OE Prefix I Reduction	yes	1	begin		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC076		yes		no
SC078	77	OE Weak Tail Reduction	Old English	Old English	Germanic/fsts/germanic.txt	define OEWeakTailReduction	define OEWeakTailReduction OEWeakTailReduction1;	OE Weak Tail Reduction	yes	89	bake, begin, believe, bind, bore, bow, break, bring, brook, burst, chew, climb, drink, drive, eat, fall, fare, fast, fight, flee, fly, fold, follow, forlorn, freeze, give, grave, gripe, handle, heal, help, hew, hold, knead, lade, last, laugh, lead, learn, let, lick, light, make, mean, read, ride, run, seek, send, set, shear, shine, show, sing, singe, sit, slay, sleep, smear, span, spare, spin, spread, start, starve, steal, still, stretch, strew, sunder, sup, swell, swim, think, thrash, tread, wade, wake, warp, wash, wax, weave, whine, wield, will, wind, wring, sow, betray		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC078		yes		no
SC079	78	OE J Loss After Heavy	Old English	Old English	Germanic/fsts/germanic.txt	define OEJLossAfterHeavy	define OEJLossAfterHeavy [ {*j} -> 0 || (EnglishStarLongVowel | EnglishStarDiphthong) [EnglishStarConsonantNoR | EnglishPalatalConsonant] _, {*j} -> 0 || EnglishStarShortVowel [EnglishStarConsonant | EnglishPalatalConsonant] [EnglishStarConsonantNoR | EnglishPalatalConsonant] _ ];	OE J Loss After Heavy	yes	28	believe, bow, fast, follow, heal, hedge, hind, last, laugh, lead, light, lung, mean, net, seek, send, set, singe, sit, smear, spread, start, still, stretch, think, will, betray		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC079		yes		no
SC080	79	OE Final Geminate Simplification	Old English	Old English	Germanic/fsts/germanic.txt	define OEFinalGeminateSimplification	define OEFinalGeminateSimplification [ {*n} -> 0 || {*n} _ .#. ];	OE Final Geminate Simplification	yes	1	lung		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC080		yes		no
SC081	80	OE J Strengthening After Front Diphthong	Old English	Old English	Germanic/fsts/germanic.txt	define OEJStrengtheningAfterFrontDiphthong	define OEJStrengtheningAfterFrontDiphthong [ {*j} -> {*ʒ} || [{*ēa}|{*ḗa}|{*íe}|{*īe}|{*éa}] _ EnglishStarVocalic ];	OE J Strengthening After Front Diphthong	yes	1	strew		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC081		yes		no
